@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,11,8,12,10,17,18,15,1,5,23,14,25,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,manha,madrugada,tarde}
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute src_files numeric
@attribute files_modified numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quarta-feira,domingo,quinta-Feira}
@attribute intra_branch {false,true}
@attribute at_mentions_comments numeric
@attribute other_files numeric
@attribute project_succ_rate numeric
@attribute status {0,1}

@data
1,noite,8,1,0,1,1,4.141703,0.011213,2,quarta-feira,false,0,0,0.840698,0
1,noite,8,1,0,1,1,4.723097,0.012787,6,quarta-feira,false,1,0,0.840851,0
3,tarde,184,1,0,1,1,8.731069,0.023637,11,quarta-feira,false,0,0,0.840822,1
1,manha,76,2,0,2,2,8.402577,0.022748,2,quarta-feira,false,0,0,0.840946,1
1,noite,26,3,0,0,3,12.352992,0.033449,0,terca-feira,false,0,0,0.840917,1
2,madrugada,194,1,0,1,1,9.579998,0.02594,14,terca-feira,false,0,0,0.841042,1
1,madrugada,37,1,0,0,1,4.87026,0.013188,0,terca-feira,false,0,1,0.841013,1
7,madrugada,21,2,1,2,1,4.855,0.013146,133,terca-feira,false,1,0,0.840984,1
1,manha,70,1,0,1,1,4.764205,0.0129,22,segunda-feira,false,0,0,0.841108,1
2,noite,353,2,0,2,2,4.852688,0.01314,2,domingo,false,0,0,0.841079,1
1,madrugada,64,1,0,1,1,4.289854,0.011616,2,domingo,false,0,0,0.84105,1
1,noite,6,1,0,1,1,4.414426,0.011953,4,sabado,false,0,0,0.841021,1
2,noite,26,2,1,2,1,14.041862,0.038022,74,sexta-feira,false,4,0,0.841174,0
2,madrugada,17,2,0,0,2,2.807355,0.007602,0,quinta-Feira,false,0,2,0.841299,1
3,madrugada,58,2,1,1,1,4.853753,0.013143,201,quinta-Feira,false,0,0,0.84127,1
3,madrugada,52,2,1,1,1,5.125038,0.013877,195,quinta-Feira,false,4,0,0.841241,1
5,madrugada,196,2,1,2,1,4.741954,0.01284,261,quinta-Feira,false,1,0,0.841212,1
2,madrugada,23,7,2,8,5,57.129119,0.154692,371,quinta-Feira,false,1,0,0.841336,1
10,noite,61,386,0,391,386,1824.487385,4.940277,5090,quarta-feira,false,1,0,0.841308,1
2,manha,38,3,0,2,3,7.875586,0.021325,15,quarta-feira,false,2,1,0.841279,1
3,noite,7,1,0,1,1,4.625744,0.012525,68,terca-feira,false,1,0,0.84125,1
1,tarde,25,1,0,1,1,4.631958,0.012542,4,terca-feira,false,0,0,0.841221,1
1,madrugada,36,1,0,1,1,4.737612,0.012828,2,terca-feira,false,1,0,0.841192,1
3,noite,52,1,0,0,1,14.073017,0.038106,0,segunda-feira,false,0,1,0.841316,1
5,manha,42,1,0,1,1,4.379437,0.011858,770,segunda-feira,false,8,0,0.841287,1
3,noite,118,3,0,3,3,36.341312,0.098404,44,domingo,false,0,0,0.841258,1
1,madrugada,19,2,0,2,2,8.660603,0.023454,3,sexta-feira,false,0,0,0.841383,1
4,madrugada,265,4,0,4,4,18.32112,0.049615,34,sexta-feira,false,5,0,0.841354,1
1,madrugada,18,1,0,1,1,4.275446,0.011578,2,sexta-feira,false,0,0,0.841325,1
1,manha,414,1,0,1,1,4.097365,0.011097,8,quarta-feira,false,4,0,0.841296,1
2,tarde,325,2,0,2,2,8.595199,0.02328,95,segunda-feira,false,7,0,0.841421,1
6,noite,50,2,1,1,1,4.803693,0.013011,232,sabado,false,2,0,0.841392,1
1,tarde,41,1,0,1,1,4.381652,0.011867,2,sabado,false,0,0,0.841363,1
3,madrugada,148,1,0,1,1,9.055194,0.024548,134,sabado,false,2,0,0.841334,1
2,madrugada,20,3,0,3,3,9.088175,0.024637,8,sabado,false,0,0,0.841305,1
1,noite,53,1,0,1,1,3.73069,0.010115,3,sexta-feira,false,5,0,0.841276,1
3,manha,49,30,0,30,30,9.720436,0.026355,161,sexta-feira,false,0,0,0.841247,1
1,manha,168,1,0,1,1,4.302185,0.011664,2,sexta-feira,false,0,0,0.841217,1
1,madrugada,4,1,0,1,1,4.36148,0.011825,2,quinta-Feira,false,0,0,0.841526,0
1,tarde,67,3,3,0,0,12.697359,0.034452,0,quarta-feira,false,3,0,0.841497,1
6,madrugada,821,2,0,2,2,9.208728,0.024986,10,quarta-feira,false,48,0,0.841468,1
2,noite,244,1,0,1,1,4.900096,0.013295,16,domingo,false,1,0,0.841439,1
9,madrugada,59,6,0,5,6,22.605196,0.061334,70,domingo,false,5,1,0.84141,1
1,madrugada,81,2,0,2,2,9.175479,0.024902,2,sexta-feira,false,0,0,0.841381,1
5,noite,143,6,3,3,0,19.815242,0.053785,1442,quarta-feira,false,0,0,0.841351,1
16,noite,133,8,3,4,2,14.733434,0.039991,2328,quarta-feira,false,18,0,0.841322,1
1,noite,36,1,0,1,1,4.417857,0.011991,14,quarta-feira,false,0,0,0.841293,1
1,noite,76,2,2,2,0,9.907621,0.026892,425,quarta-feira,false,2,0,0.841264,1
3,noite,20,1,0,1,1,9.229963,0.025053,10,quarta-feira,false,0,0,0.841235,1
2,madrugada,18,2,0,2,2,4.52132,0.012274,39,quarta-feira,false,0,0,0.841206,1
1,madrugada,39,1,0,1,1,3.883017,0.010543,2,terca-feira,false,0,0,0.841331,1
1,noite,1454,7,3,7,4,32.213199,0.08746,152,domingo,false,1,0,0.841302,1
6,noite,1445,4,1,3,3,31.591626,0.085772,111,sabado,false,0,0,0.841273,1
2,madrugada,114,1,0,1,1,4.795576,0.01302,25,sabado,false,2,0,0.841244,1
5,manha,1525,4,1,3,3,14.113684,0.038329,35,sexta-feira,false,3,0,0.841369,1
3,madrugada,196,6,1,5,5,41.402348,0.112437,399,sexta-feira,false,7,0,0.84134,1
1,madrugada,537,2,0,2,2,8.313499,0.022577,21,sexta-feira,false,0,0,0.841311,1
1,madrugada,15,1,0,1,1,4.300547,0.011679,3,sexta-feira,false,0,0,0.841282,1
2,manha,390,2,1,1,1,4.925753,0.013,515,quarta-feira,false,21,0,0.841407,1
1,manha,12,1,1,0,0,4.773043,0.012597,0,quarta-feira,false,0,0,0.841378,1
2,noite,64,2,2,2,0,9.135088,0.024119,100,terca-feira,false,4,0,0.841349,1
1,manha,6,1,0,1,1,3.983101,0.010516,2,terca-feira,false,0,0,0.84132,1
1,manha,14,1,0,0,1,5.047443,0.013326,0,terca-feira,false,0,0,0.84129,1
1,manha,277,1,1,1,0,5.090309,0.01344,196,terca-feira,false,3,0,0.841261,1
2,manha,13,2,1,0,1,4.651405,0.012281,0,terca-feira,false,1,0,0.841232,1
1,manha,37,1,0,1,1,4.777841,0.012615,3,terca-feira,false,1,0,0.841387,0
1,madrugada,139,1,0,1,1,4.698744,0.012406,3,terca-feira,false,0,0,0.841358,1
