@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,8,11,15,9,10,16,12,17,14,18,1,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute description_length numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute test_churn numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute created_at_week_day {terca-feira,quinta-Feira,quarta-feira,segunda-feira,sexta-feira,sabado,domingo}
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
2,noite,22,1,3,1048,0,2,0,3,28.205451,0,0.462396,sexta-feira,15,1
1,noite,8,0,1,0,0,1,0,0,3.478292,1,0.057022,terca-feira,8,1
2,noite,23,0,9,70,0,9,115,9,81.935391,0,1.343222,terca-feira,11,1
2,noite,2,0,2,39,0,2,0,2,15.068717,0,0.247032,sexta-feira,9,0
8,tarde,292,4,16,439,0,12,20,11,169.63508,4,2.780942,sexta-feira,3,1
1,madrugada,61,0,2,60,0,2,240,2,8.841136,0,0.144939,sexta-feira,7,1
2,noite,97,0,7,309,0,7,101,7,64.883451,0,1.063678,quinta-Feira,0,0
6,madrugada,36,0,16,549,0,16,427,16,81.94274,0,1.343342,quinta-Feira,26,1
58,madrugada,14,12,146,4279,0,134,1848,113,102.601596,7,1.682055,terca-feira,30,1
3,noite,20,1,6,113,0,5,0,2,28.421771,0,0.466275,sexta-feira,12,1
3,noite,59,0,9,270,0,9,189,9,67.180974,0,1.104739,segunda-feira,2,1
3,noite,36,0,3,0,0,3,0,0,14.26399,3,0.23456,quinta-Feira,4,1
1,noite,32,0,2,11,0,2,0,1,10.109328,1,0.166242,segunda-feira,12,1
2,tarde,10,3,7,432,0,4,160,7,53.751844,0,0.883915,segunda-feira,2,1
47,tarde,11,2,26,1458,1,23,1659,22,459.333071,1,7.645981,quarta-feira,28,1
1,noite,10,0,5,44,0,5,323,5,22.991215,0,0.382708,terca-feira,34,1
1,noite,47,0,1,0,0,1,0,0,4.551346,1,0.075761,segunda-feira,0,1
2,noite,130,0,5,87,0,5,0,5,23.449312,0,0.390652,quinta-Feira,20,1
1,noite,70,0,1,7,0,1,0,1,4.722459,0,0.078806,quarta-feira,0,1
1,madrugada,5,0,1,16,0,1,0,1,0,0,0,quarta-feira,0,1
1,noite,96,1,10,101,0,9,56,6,0,4,0,terca-feira,0,1
1,noite,6,0,1,2,0,1,0,1,4.245477,0,0.070846,segunda-feira,0,1
14,noite,28,19,115,7364,6,90,4188,159,1015.866547,3,16.923753,sexta-feira,63,1
1,madrugada,11,2,5,38,0,3,143,5,0,0,0,sexta-feira,0,1
1,noite,8,0,2,16,0,2,25,2,9.710795,0,0.162049,quinta-Feira,0,1
1,noite,47,0,4,37,0,4,129,3,18.122414,1,0.302417,quarta-feira,30,1
1,noite,9,2,3,316,0,1,0,1,14.233522,2,0.237522,quarta-feira,4,1
1,tarde,4,0,15,0,0,15,0,0,72.971574,0,1.2177,sexta-feira,0,1
1,noite,211,1,21,515,8,12,241,17,61.756254,4,1.022277,sexta-feira,46,1
2,tarde,115,0,8,144,3,5,0,8,18.310659,0,0.302621,sexta-feira,19,1
1,tarde,195,1,7,230,0,6,0,6,32.000931,1,0.528881,sexta-feira,16,1
1,noite,49,0,3,13,0,3,0,3,12.92398,0,0.213942,quarta-feira,3,1
1,noite,32,0,7,40,0,7,0,7,31.136443,0,0.51832,quarta-feira,0,1
1,noite,7,1,7,2,0,6,23,2,34.421765,5,0.568893,quarta-feira,41,1
1,noite,189,0,12,218,0,12,95,12,54.769482,0,0.906647,quarta-feira,35,1
2,madrugada,3,0,6,104,0,6,14,6,23.79641,0,0.393923,quarta-feira,5,1
5,noite,65,0,3,20,0,3,0,2,17.953942,1,0.297207,sexta-feira,40,1
4,tarde,67,0,3,20,0,3,0,2,17.953942,1,0.297207,sexta-feira,40,1
3,noite,24,0,4,8,0,4,0,3,20.156356,1,0.333665,quinta-Feira,15,1
3,madrugada,6,0,4,34,0,4,0,4,18.470681,0,0.305761,quinta-Feira,29,1
2,noite,22,0,4,18,0,4,0,3,28.887469,0,0.478191,quarta-feira,26,1
9,noite,204,4,20,453,2,14,0,11,206.436976,8,3.423543,terca-feira,12,1
2,madrugada,7,0,3,27,0,3,0,3,13.672633,0,0.226746,terca-feira,26,0
15,manha,64,2,14,439,0,12,265,12,55.542371,0,0.919441,segunda-feira,37,1
1,tarde,16,0,1,3,0,1,0,1,4.43238,0,0.073506,sexta-feira,21,1
1,noite,47,0,2,20,0,2,0,2,8.969091,0,0.148742,quarta-feira,0,1
1,noite,7,0,1,0,0,1,0,0,4.5186,1,0.074936,segunda-feira,7,1
2,noite,35,0,3,7,0,3,0,2,13.194226,1,0.218992,quinta-Feira,30,1
1,noite,153,0,8,134,0,8,26,8,36.724521,0,0.609037,quinta-Feira,0,1
1,noite,7,0,2,51,0,2,0,2,9.269905,0,0.153859,quinta-Feira,7,1
3,noite,61,1,5,346,0,4,0,4,13.808268,0,0.229375,quarta-feira,19,1
1,noite,29,1,5,0,0,4,0,0,23.967807,5,0.39814,quarta-feira,21,1
3,noite,45,1,8,106,0,7,0,8,70.33036,1,1.168288,terca-feira,9,1
1,tarde,9,0,7,50,0,7,60,7,32.563868,0,0.540913,sexta-feira,22,1
5,noite,107,0,1,47,0,1,0,1,18.689045,0,0.310446,quarta-feira,23,1
1,noite,46,0,2,2,0,2,0,2,8.678482,0,0.144159,quarta-feira,4,1
3,noite,6,0,6,0,0,6,0,0,14.443548,6,0.239924,terca-feira,6,1
1,tarde,26,0,1,9,0,1,0,1,4.791673,0,0.079595,terca-feira,20,1
1,noite,5,0,1,2,0,1,0,1,5.043696,0,0.083781,segunda-feira,6,1
6,noite,63,0,1,152,0,1,0,1,20.287753,0,0.336997,segunda-feira,13,1
1,tarde,28,0,3,0,0,3,0,0,14.581608,3,0.242216,sexta-feira,4,1
1,noite,6,0,1,18,0,1,0,1,4.972021,0,0.082593,quinta-Feira,9,1
1,noite,49,0,1,39,0,1,0,1,4.91224,0,0.081594,quinta-Feira,0,1
1,noite,118,0,3,16,0,3,0,2,14.450797,1,0.240033,quinta-Feira,9,1
1,tarde,43,0,1,1,0,1,0,1,4.804505,0,0.079805,quinta-Feira,8,1
1,tarde,65,0,10,89,0,10,4,10,43.655838,0,0.725142,quarta-feira,72,1
1,noite,71,0,4,0,0,4,0,0,19.223407,4,0.319306,terca-feira,6,1
1,noite,70,0,2,20,0,2,0,2,9.526873,0,0.158247,terca-feira,8,1
1,noite,98,0,4,114,0,4,86,4,18.667372,0,0.310074,segunda-feira,26,1
1,noite,323,0,3,95,0,3,0,2,12.289974,1,0.204139,quinta-Feira,10,1
3,tarde,124,0,7,310,0,7,23,6,32.387557,1,0.537966,quarta-feira,19,1
1,noite,97,0,3,6,0,3,0,3,13.795537,0,0.229147,terca-feira,22,1
1,noite,55,0,1,4,0,1,0,1,4.887494,0,0.081182,terca-feira,10,1
2,noite,15,0,8,25,0,8,81,8,44.201022,0,0.732457,quarta-feira,32,1
2,noite,59,0,14,300,4,10,335,14,36.85678,0,0.610755,terca-feira,58,1
1,noite,45,0,1,2,0,1,0,1,4.434442,0,0.073483,segunda-feira,9,1
