@relation 'rosdistro-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R16,17,8,18,6,7,25,2,14,24,5,10,11,19,21,53'

@attribute test_churn numeric
@attribute new_entropy numeric
@attribute files_added numeric
@attribute entropy_diff numeric
@attribute description_length numeric
@attribute num_commits numeric
@attribute project_succ_rate numeric
@attribute created_at_day_turn {madrugada,noite,manha,tarde}
@attribute other_files numeric
@attribute prev_pull_reqs_project numeric
@attribute intra_branch {false,true}
@attribute files_modified numeric
@attribute files_changed numeric
@attribute commits_on_files_touched numeric
@attribute hotness numeric
@attribute status {0,1}

@data
0,4.403129,0,0.136879,83,1,0.931105,madrugada,1,10204,false,1,1,716,1.162338,0
0,4.405479,0,0.136952,83,2,0.931099,madrugada,1,10203,false,1,1,716,1.162338,1
0,4.267125,0,0.132651,261,1,0.931092,tarde,1,10202,false,1,1,718,1.139683,1
0,4.425057,0,0.13756,284,1,0.931085,manha,1,10201,false,1,1,347,0.552548,1
0,4.397647,0,0.136708,343,1,0.931078,manha,1,10200,false,1,1,716,1.140127,1
0,4.391184,0,0.136507,343,1,0.931072,manha,1,10199,false,1,1,712,1.1392,1
0,4.263631,0,0.132542,75,1,0.931065,manha,1,10198,false,1,1,12,0.019231,1
0,4.371932,0,0.135909,142,1,0.931058,manha,1,10197,false,1,1,345,0.552885,1
0,4.368406,0,0.135799,142,1,0.931051,manha,1,10196,false,1,1,712,1.142857,1
0,4.263785,0,0.132547,58,1,0.931045,manha,1,10195,false,1,1,10,0.016051,1
0,4.263785,0,0.132547,58,1,0.931136,manha,1,10194,false,1,1,10,0.016051,0
0,4.33231,0,0.134673,75,2,0.931129,madrugada,1,10193,false,1,1,7,0.011182,1
0,9.111275,0,0.283231,17,2,0.931397,madrugada,1,10189,true,1,1,5,8,1
0,4.390431,0,0.136469,58,2,0.931664,madrugada,1,10185,false,1,1,2,0.003215,1
0,4.129099,0,0.128346,7,1,0.931658,madrugada,1,10184,true,1,1,27,0.043478,1
0,4.375531,0,0.136006,192,1,0.931651,noite,1,10183,false,1,1,343,0.55412,1
0,4.365149,0,0.135684,192,1,0.931644,noite,1,10182,false,1,1,712,1.150242,1
0,4.358072,0,0.135464,247,1,0.931637,tarde,1,10181,false,1,1,715,1.149518,1
0,4.405679,0,0.136943,66,1,0.931631,tarde,1,10180,false,1,1,715,1.149518,1
0,17.985991,0,0.559065,29,2,0.931807,madrugada,2,10177,true,2,2,71,0.073783,1
0,4.383792,0,0.136263,15,1,0.9318,madrugada,1,10176,false,1,1,361,0.569401,1
0,4.324202,0,0.134613,298,1,0.931794,tarde,1,10175,false,1,1,722,1.142405,1
0,4.33108,0,0.134827,298,1,0.931787,tarde,1,10174,false,1,1,361,0.571203,1
0,4.617582,0,0.143746,298,1,0.931879,tarde,1,10173,false,1,1,361,0.571203,0
0,4.612312,0,0.143582,298,1,0.93197,tarde,1,10172,false,1,1,724,1.14557,0
0,4.430321,0,0.137916,55,1,0.931963,tarde,1,10171,false,1,1,729,1.153481,1
0,4.354581,0,0.135559,56,1,0.931957,manha,1,10170,false,1,1,728,1.153724,1
0,4.662501,0,0.145144,56,1,0.932048,manha,1,10169,false,1,1,728,1.153724,0
0,4.440559,0,0.138235,36,1,0.932225,madrugada,1,10166,false,1,1,362,0.574603,1
0,4.430531,0,0.137923,36,1,0.932218,madrugada,1,10165,false,1,1,730,1.160572,1
0,4.412853,0,0.137373,36,2,0.932212,noite,1,10164,false,1,1,732,1.154574,1
0,4.477531,0,0.139386,36,1,0.932205,madrugada,1,10163,false,1,1,375,0.585938,1
0,4.456169,0,0.138721,36,1,0.932198,madrugada,1,10162,false,1,1,736,1.15,1
0,4.700057,0,0.146313,36,1,0.93229,madrugada,1,10161,false,1,1,736,1.148206,0
0,8.72067,0,0.271475,20,5,0.932283,madrugada,2,10160,false,2,2,743,1.141745,1
0,4.292958,0,0.13364,4,1,0.932277,noite,1,10159,false,1,1,44,0.068429,1
0,4.179447,0,0.130107,7,1,0.93227,manha,1,10158,true,1,1,375,0.579598,1
0,4.380874,0,0.136377,74,1,0.932263,madrugada,1,10157,false,1,1,742,1.143297,1
0,4.421009,0,0.137626,76,1,0.932257,noite,1,10156,false,1,1,375,0.578704,1
0,4.407277,0,0.137199,76,1,0.93225,noite,1,10155,false,1,1,744,1.148148,1
0,4.573748,0,0.142381,5,1,0.932243,noite,1,10154,false,1,1,25,0.03864,1
0,4.573748,0,0.142381,8,2,0.932335,noite,1,10153,false,1,1,25,0.0387,0
0,4.417612,0,0.137521,74,1,0.932329,madrugada,1,10152,false,1,1,762,1.174114,1
0,4.435268,0,0.13807,780,1,0.932322,noite,1,10151,false,1,1,393,0.596358,1
0,4.440787,0,0.138242,265,1,0.932315,noite,1,10150,false,1,1,776,1.179331,1
0,4.367896,0,0.135973,49,1,0.932407,noite,1,10149,false,1,1,779,1.178517,0
0,4.269607,0,0.132913,84,2,0.932499,tarde,1,10148,false,1,1,782,1.183056,0
0,4.291698,0,0.133601,6,1,0.932492,manha,1,10147,false,1,1,40,0.060606,1
0,0,0,0,131,1,0.932486,noite,1,10146,false,1,1,0,0,1
0,4.430983,0,0.137937,72,1,0.932479,tarde,1,10145,false,1,1,787,1.19062,1
0,4.367254,0,0.135953,83,1,0.932472,madrugada,1,10144,false,1,1,395,0.597579,1
0,0,0,0,341,1,0.932466,madrugada,1,10143,false,1,1,0,0,1
0,0,0,0,121,1,0.932459,madrugada,1,10142,false,1,1,0,0,1
0,0,0,0,121,1,0.932452,madrugada,1,10141,false,1,1,0,0,1
0,0,0,0,78,1,0.932446,madrugada,1,10140,false,1,1,0,0,1
0,4.356909,0,0.135631,83,1,0.932439,noite,1,10139,false,1,1,788,1.204893,1
0,0,0,0,70,1,0.932432,noite,1,10138,false,1,1,0,0,1
0,0,0,0,149,1,0.932426,noite,1,10137,false,1,1,0,0,1
