@relation 'appium-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,2,6,7,10,12,15,8,11,14,16,23,1,17,18,53'

@attribute doc_files numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute other_files numeric
@attribute test_churn numeric
@attribute at_mentions_comments numeric
@attribute created_at_week_day {terca-feira,sexta-feira,quarta-feira,quinta-Feira,sabado,segunda-feira,domingo}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute status {0,1}

@data
0,madrugada,14,3,4,4,59,1,5,0,0,1,sexta-feira,26.742633,3.667389,1
0,noite,8,1,1,0,0,0,1,1,0,0,quinta-Feira,4.382639,0.60102,1
0,noite,29,2,1,1,43,0,1,0,0,2,quinta-Feira,9.270465,0.347346,0
0,noite,4,1,1,0,0,0,1,1,0,0,terca-feira,4.374771,0.600269,1
0,madrugada,46,4,5,7,554,1,7,0,0,3,terca-feira,39.405834,5.406935,1
0,noite,6,1,0,2,74,2,2,0,0,0,segunda-feira,10.335448,1.43844,1
0,noite,4,1,1,1,2,0,1,0,0,0,segunda-feira,4.480274,0.623544,1
0,noite,19,1,7,8,186,0,8,0,0,0,quinta-Feira,33.521747,4.665402,1
0,madrugada,10,2,2,2,5,0,2,0,9,0,quinta-Feira,9.236453,1.2855,1
0,noite,74,1,0,0,0,0,0,0,0,3,terca-feira,0,0,1
0,tarde,237,1,1,1,1,0,1,0,0,1,sexta-feira,4.515948,0.172416,1
0,tarde,10,1,1,1,20,0,1,0,0,0,quinta-Feira,4.440394,0.169531,0
0,madrugada,9,9,8,9,212,2,10,1,0,0,sexta-feira,4.641787,0.654844,1
0,madrugada,12,3,4,2,22,0,4,2,0,0,sexta-feira,9.414125,0.35273,0
0,madrugada,12,1,3,1,6,0,3,2,0,2,quarta-feira,0,0,0
0,noite,14,2,1,1,16,0,1,0,0,0,terca-feira,8.809144,1.251616,1
0,manha,10,2,2,2,22,0,2,0,0,0,terca-feira,13.908543,0.531025,0
0,madrugada,30,4,5,5,59,0,5,0,0,1,terca-feira,14.055388,0.526653,0
0,noite,21,1,1,1,4,0,1,0,0,0,segunda-feira,4.786368,0.179344,1
0,noite,15,3,4,4,53,0,4,0,0,2,segunda-feira,23.934479,0.896821,0
0,noite,53,2,1,1,28,0,1,0,0,0,segunda-feira,10.468517,0.392254,0
0,noite,10,1,1,1,2,0,1,0,0,0,sexta-feira,4.683365,0.175485,0
0,noite,15,6,8,6,300,1,9,2,0,0,quarta-feira,37.573236,5.338218,1
0,noite,103,166,72,59,1045,6,79,15,208,0,quarta-feira,888.857587,33.304452,0
0,madrugada,50,1,1,1,20,0,1,0,0,0,quarta-feira,4.618189,0.667947,1
0,noite,24,2,1,0,0,0,1,1,0,1,terca-feira,8.639601,0.323716,0
0,madrugada,166,2,0,1,513,2,2,1,0,1,terca-feira,9.241697,1.336662,1
0,noite,4,1,2,1,19,0,2,1,0,0,segunda-feira,9.174312,1.326939,1
0,madrugada,26,1,2,2,7,0,2,0,0,3,sabado,9.264219,0.347737,0
0,noite,16,1,1,1,73,0,1,0,0,0,sexta-feira,4.476276,0.168018,0
0,madrugada,34,6,11,9,37,0,11,2,57,1,sexta-feira,73.472497,2.75773,1
0,noite,28,1,1,1,5,0,1,0,0,2,quinta-Feira,4.770806,0.179068,0
0,noite,31,1,1,1,27,0,1,0,0,0,quinta-Feira,4.718217,0.682438,1
0,noite,12,1,3,3,43,0,3,0,0,0,quinta-Feira,14.278328,2.065202,0
0,madrugada,16,2,1,0,0,0,1,1,0,2,quinta-Feira,9.001059,1.301893,1
0,tarde,8,1,1,1,3,0,1,0,0,0,quarta-feira,5.083559,0.190807,0
0,madrugada,11,1,2,2,7,0,2,0,6,0,quarta-feira,9.271743,1.341071,1
0,noite,5,1,1,0,0,0,1,1,0,0,quarta-feira,4.666756,0.175163,0
0,madrugada,32,7,2,3,218,1,3,0,0,16,quarta-feira,4.605921,0.172878,1
0,madrugada,190,2,2,2,50,0,2,0,0,2,terca-feira,9.717108,0.366097,0
0,madrugada,4,1,1,0,0,0,1,1,0,0,terca-feira,4.355928,0.630041,1
0,manha,14,2,0,2,44,2,2,0,0,4,segunda-feira,20.185358,0.760495,0
0,noite,9,1,1,0,0,0,1,1,0,0,sexta-feira,4.524867,0.654472,1
0,noite,4,1,1,1,7,0,2,1,0,0,quinta-Feira,4.50937,0.647887,1
0,madrugada,3,1,1,1,2,0,1,0,0,0,quinta-Feira,4.636182,0.174671,0
0,noite,7,1,1,1,4,0,1,0,0,1,terca-feira,4.335988,0.163361,0
0,madrugada,11,1,2,1,2,0,2,1,0,0,quinta-Feira,8.966808,1.288325,1
0,tarde,4,5,5,5,31,0,5,0,0,0,quarta-feira,38.871886,1.464555,0
0,noite,20,1,5,4,7,0,5,1,3,0,quarta-feira,23.614385,3.392826,1
0,madrugada,7,2,4,1,6,0,4,3,0,0,quarta-feira,26.286477,1.007441,1
0,madrugada,7,1,3,1,6,0,3,2,0,0,quarta-feira,13.515087,0.509201,1
0,madrugada,27,1,3,0,0,0,3,3,0,0,quarta-feira,12.77139,0.48119,1
0,noite,8,1,3,1,7,0,3,2,0,3,segunda-feira,12.946193,0.487766,1
0,noite,2,1,2,0,0,0,2,2,0,1,segunda-feira,9.015103,0.339657,1
0,noite,32,1,1,1,4,0,1,0,0,0,segunda-feira,4.524511,0.650062,1
0,tarde,11,5,5,5,31,0,5,0,0,0,segunda-feira,29.318568,1.104618,0
0,noite,5,1,2,0,0,0,2,2,0,0,sexta-feira,9.087761,0.342395,1
0,madrugada,104,1,1,1,6,0,1,0,0,0,sexta-feira,4.656795,0.175452,1
0,madrugada,18,1,1,1,2,0,1,0,0,2,sexta-feira,4.394757,0.165577,1
0,noite,5,1,2,2,0,0,2,0,14,0,quinta-Feira,8.53913,0.32172,1
0,noite,20,1,1,1,2,0,1,0,0,0,quinta-Feira,4.695568,0.17691,0
0,madrugada,2,1,8,0,0,0,8,8,0,1,quinta-Feira,36.98822,1.393567,1
0,noite,4,1,1,0,0,0,1,1,0,0,quarta-feira,4.236834,0.159627,1
0,noite,5,1,1,0,0,0,1,1,0,0,quarta-feira,4.420266,0.166538,0
0,tarde,31,4,5,5,28,0,5,0,0,1,terca-feira,24.112733,0.908471,0
0,madrugada,38,1,1,1,4,0,1,0,0,0,terca-feira,4.915955,0.185214,1
