@relation 'vagrant-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,7,6,11,8,10,12,14,2,9,15,1,17,18,20,53'

@attribute requester {pearkes,kenorb,larsch,jtopper,altexdim,mwrock,amontalban,tpenguin,kamigerami,geo4orce,donaldguy,radarhere,interdev,evisboy,jzohrab,Eric-Guo,budhrg,oddtazz,snagy22000,sethvargo,rightsaidjames,krutcha,taurus-forever,erSitzt,mbrodala,pra85,evaryont,prateepb,kkremitzki,gavioto,williamonymous,tompscanlan,wjsager,mmickan,theengineear,daniel-sc,jlduran,cweagans,anatol,adamenger,velocity303,kamazee,sneal,gimler,gildegoma,kylegibson,michaldo,aqnouch,kriuz,petems,OmarIthawi,sschuberth,char16t,mitchellh,ianvanness,KaffeJunky123,metropolislights,geerlingguy,josephfrazier,kikitux,tomkins,captainill,tonyarkles,michaa76,rickard-von-essen,mkuzmin,chenz,reedloden,jharshman,rubenv,romulodl,timuralp,legal90,handlers,Panya,iamseth,ReadmeCritic,yoshiyaka,thachmai,signed8bit,oliviermeurice,fedorovdima,dmacvicar,amirbilu,Ingramz,invernizzi,dvorak,nikelmwann,aneeshusa,rogerhu,karthequian,dexterc,matthewcodes,gawbul,glamouracademy,gpkfr,jsyeo,htesligte,joseph-onsip,markus-perl,timotei,grafjo,javimuu,PatOShea,jcockhren,caleblloyd,electrofelix,knixeur,ctammes,iankronquist,janek-warchol,Fudoshiki,trivoallan,blueyed,bitprocessor,senglin,tbriggs-curse,justinlynn,tomfanning,jperville,loren-osborn,samphippen,philipwigg,krig,dharmab,myrjola,mirthy,phinze,jgoldschrafe,jrob,modernlegend,yanosz,konomae,dustymabe,ArloL,gajdaw,marc-ta,hubub,tknerr,glensc,cbednarski,issyl0,lonniev,JustinCampbell,pwnall,philoserf,tjanez,StefanScherer,cazzerson,mtwentyman,evverx,vbaskoff,driskell,Johntron,caseylang,benh57,bdwyertech,darkn3rd,pogliamarci,ievgenp,Mattias-,denisbr,jkburges,bheuvel,cristovaov,progamesigner,aidanhs,wkral,kaorimatz,densuke,adrianguenter,msabramo,dcbw,strzibny,oxygen0211,cisco87,jjasghar,ivuk,miguel250,peckpeck,alh84001,jeremyplichta,iNecas,Ryanbarnes420,chrisbaldauf,berendt,linyows,jim-minter,leocassarani,bergman,deviantintegral,c33s,mrahtz,mahnkong,agdula,taliesins,Stanzilla,dmangot,paul-krohn,brooksbrown,otagi,jfbibeau,frapposelli,purpleidea,bluehaoran,michaeldhopkins,notpeter,quirkey,stoned,thenewwazoo,randonn,jackywu,vvchik,ssugar,marsam,obnoxxx,MiLk,johnsonj,eidge,francisoud,follower,duro,aogail,Turbo87,Jamezz,valchonedelchev,timoguin,ibizaman,marxarelli,laetificat,trensen,edward010,davidsantoso,erwinvaneyk,hashar,choffee,agreenbhm,YpNo,mafrosis,tioteath,kev009,timsutton,frankbb,mixpix3ls,SchnWalter,channui,Scythril,terceiro,Keeguon,rgardler,aknrdureegaesr,blairham,radeksimko,alfonsodev,dragon788,simonjbeaumont,simonvetter,voxik,BlakeMesdag,clayallsopp,tomassrnka,thierrymarianne,clintoncwolfe,clinstid,hdeheer,windowsrefund,bvalerius,peterood,dcarley,fgrehm,johnclaus,AntonioMeireles,wkolean,simon3z,MobileWiseguyTX,mdirik,ermaker,tai-ga,lpabon,HerrBertling,databus23,willdurand,zmingee,maxlinc,tjouan,c0dxtr3m1st,frodenas,heydonovan,imjacobclark,joelhandwell,kalifg,tboettch,riquito,jquast,athak,oeuftete,svenXY,obfusk,michaeljb,malonecm,whitel,jcollins1991,aidanmorgan,maoueh,derdanne,julienvey,stephenwithav,jch,llamallama,ccutrer,philwrenn,KFishner,robkinyon,aspiers,Tarrant,cllns,konstantint,uchagani,awithersdd,jramnani,orenmazor,dimbleby,tmatilai,jschwarze,dlundgren,crypt1d,styro,danielsiwiec,davidjb,dannykansas,dup2,rogeriopradoj,ilucker,ebelew,mrwhelan,plu,matgnt,Xylakant,kbohnenberger,lunetics,chriskuehl,sprin,donckers,tboerger,mpoeter,jugglinmike,rtkrruvinskiy,abele,Gurpartap,jure,andytson,npvisual,igas,keithchambers,juliandunn,cdenneen,omehegan,simoleone,dmcrystax,gpoulin2,rclanan,sax,lsimons,jdmulloy,BackSlasher,s7726,sumkincpp,andrewmains12,ewigkeit1204,nmische,parisholley,justanshulsharma,acidum,gildub,fpletz,danielparks,synth3tk,b-dean,stvleung,emyl,stevemcc,vStone,EvanPurkhiser,ffrank,bbaugher,schauer,vassilevsky,aaadschutz,techtonik,amracks,keiths-osc,skeggse,sfx-public,Maks3w,BlackIkeEagle,dhoppe,cielavenir,akzhan,salimane,zr40,simono,bewiwi,KLVTZ,brettporter,calvinhp,ifnull,dougm,pdericson,PerilousApricot,az7arul,xstevecs,catsby,marnovdm,rockymadden,zigg,stonith,kalmanh,Freyskeyd,gpurkins,snowch,hippich,shtouff,cstrahan,targetx007,RabidGuppy,ramakrishnan,YungSang,agilebarbecue,goshakkk,szuliq,assens,takekazuomi,tupy,p0deje,cammoraton,felixrabe,also,sciurus,chr4,lamont-granquist,eykd,shadowfax-chc,JuanitoFatas,wtanaka,bclarkindy,benesch,javornikolov,bmcorser,ronnix,rasschaert,jingchan,jjshoe,mjfroehlich,brenttheisen,Mulkave,zeroem,bmorg,b-long,cuberri,zzamboni,timcooper,Arxisos,joanbarros,ndemonner,briandailey,odigity,davidkuridza,oscarrenalias,valioDOTch,philippfranke,pmenglund,miurahr,Coffee-fan,toooooooby,jaikdean,skoblenick,mattoxbeckman,ecoleman,novalagung,barrkel,skinofstars,mivok,justincwatt,pbitty,alimony,andyclarke,uwej711,cournape,rissem,jyggen,khiro,ex-nerd,freshteapot,mkremer,xraj,mway,schlamar,Fuhrmann,patrickheeney,bbinet,Krazylee,stormbrew,adamlazz,mafigit,johnbellone,ramondelafuente,mattes,johan-open-future,endemics,gldnspud,lheinlen-os,ajw0100,retr0h,kvilhaugsvik,eugeneware,shanegibbs,ryanuber,dstevenson,earnubs,elyast,gnawhleinad,mhahn,rmccue,danielbachhuber,maspwr,wouteroostervld,nickborromeo,frosario,chrischillibean,mpalmer,myoung34,seginoviax,morrizon,timgus,thanosa75,gustavobgama,masteinhauser,miketheman,glebm,smoyer,charlax,ryansb,joestump,graingert,lunohodov,sferik,jameydeorio,darthmuffins,MarcMeszaros,marcellodesales,picsolvebryan,tobiasbaehr,Ninir,Ninjamoose,oalders,Grunny,ampedandwired,martinezdelariva,acharlieh,adrianlzt,drpebcak,tnaoto,arthurnn,bbonamin,lndbrg,makern,scalp42,ShonM,mwarkentin,jpfuentes2,teaforthecat,mattalexx,till,bennlich,instilled,alangarf,ticosax,nikhilv,Sgoettschkes,athoune,elliotsegler,markpeek,millerdev,isaoshimizu,rconradharris,AJCStriker,phs,jaugustin,ziuchkovski,hatsuseno,andyfowler,canausa,tduffield,jeremyfelt,clintjhill,jackdesert,onejli,rimckenn,tmacedo,Schpidi,SpringMT,txchen,hikch,borgstrom,tehmaspc,catharsis,Tomdarkness,viq,sgronblo,3flex,virtuald,gwaldo,tuminoid,mpioli,copperlight,jeffasinger,jabclab,eggsby,ianheggie,jeremyquinton,daveloyall,grenade,czi,fcharlier,mrkafk,Caustic,PeteMichaud,bt5e,aleno,gregwork,mark-rushakoff,mikerowehl,tpltnt,Raman148,deltaroe,atomic-penguin,cmthornton,grepory,BreiteSeite,ndemoor,herdani,psi,beporter,gildas,erichelgeson,miguno,tsahara-iij,mlex,janth,shutej,Boohbah,ches,rajivr,ppp0,sevos,tejaycar,mcourtois,flozano,talexb,gwenci,michaelglass,StephenKing,erran,bmabey,tsugliani,tehranian,zvirusz,mpapis,znz,korya,Sauraus,nickanderson,saturnflyer,marcparadise,b2jrock,mightybs,commandtab,bdon,patcon,sthulb,koolhead17,benjixx,voronoipotato,mfournier,trlinkin,ngiger,scottmuc,jprosevear,tgarvey,kburwieck,davegudge,hecko,Aigeruth,dsesh,hwartig,ekalinin,wbates,tunix,econchick,jheise,drogerschariot,frankshearar,Loa,tawan,toretore,pronix,aszeszo,akalyaev,igorbonadio,cliles,Govinda-Fichtner,gilesbowkett,pmorton,johntdyer,gumayunov,hectcastro,nickrw,NeilW,raadad,cassianoleal,davidbirdsong,geetarista,onefrankguy,tobli,chorankates-sfdc,smdahlen,benprew,schisamo,jimmycuadra,jefflab,wormzer,wenlock,neil477,davedevelopment,jedvardsson,kentaro,janschumann,hmalphettes,rubbish,yujiorama,uggedal,nickchappell,martoe,lucaspiller,curzonj,masm,whiteley,aaa572,jblaine,grosser,frsantos,johnbarney,erikh,phunehehe,erictip,ereslibre,hh,ithinkihaveacat,samet,lolindrath,pastafari,dmajkic,magec,kainz,llonchj,yarikoptic,nicobrevin,eladroz,kbrock,rizzatti,ozanturksever,nwjsmith,jwhitley,hdorio,priestjim,jbraeuer,paulmars,chilicat,mattandersen,jasim,ryfow,morpheu,xiwenc,pbrisbin,gmsharky,jeremyd,lorello,obscurerichard,carlossg,paulv,petere,sbfaulkner,michaelthies,sl4m,YannRobert,gabetax,piavlo,smerrill,rrehbeindoi,julianhille,hugowetterberg,gaffo,Samuel29,danmidwood,bcwaldon,jtimberman,jmazzi,spk,benburkert,chipchilders,scoates,vaimo-wilko,mandarbarve,loe,conormcd,dansimau,5long,bobmaerten,marklap,jamtur01,jssjr,zsiddique,nathankleyn,muffs,videlalvaro,RLasinski,mattrobenolt,monvillalon,mxtthias,leth,oker1,kindjal,npeters,webcoyote,hollow,jmahowald,ryanlecompte,squarelover,jhf,LarsFronius,dbroeglin,nesQuick,rafmagana,bitprophet,calavera,theju,stevehodgkiss,andyl,skarab,dcolish,lorin,hvolkmer,Oakie3CR,rvermeulen,rtyler,andrewchalfant,withnale,mbbx6spp,wayneeseguin,jbochi,Achimh3011,dgholz,ndwns,ergonlogic,jjhuff,jsoriano,bobveznat,semarj,mephaust,straphka,jkutner,withnail,sroegner,mamciek,rtgibbons,jarmo,sigi,henare,sirl1on,zev,bgreenlee,richardiux,halcyonCorsair,LeftyBC,dgtized,hedgehog,paulsmith,cwarden,avit,russss,jbrown,lmars,alexey-chebotar,xuru,eriksencosta,mdellanoce,dizzyd,brycethornton,ticean,wjlroe,kevin1024,dctrwatson,ody,sjl,darrin-wortlehock,samerbuna,ambethia,mirell,josephholsten,tnm,brianloveswords,pelletier,xdissent,dax,simonsd,halcyon,gabemc,jeffrafter,pauln415,theaboutbox,RichardBronosky,svenfuchs,mlinderm,reset,nstielau,philips,ryansch,alanshields,mhorbul,stopdropandrew,bodepd,jwinter,wfarr,th34ut0m4t0r,rcreasey,patcoll,wsc,tonyla,TimDumol,morepanda,gammons,ramonvanalteren,jeffmccune,tail,aglarond,thbar,vishvananda,mdub,underlog,kvs,michaelbearne,mtrudel,evtuhovich,bpo,masterzen,tolbrino,lstoll,bnmrrs,scompt,dreamcat4,ctrabold,drnic,adamv,ankopainting,bixu}
@attribute num_commits numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute other_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,domingo,sabado,quarta-feira,sexta-feira,quinta-Feira,segunda-feira}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
ivuk,1,10,1,0,1,1,0,noite,0,2,quinta-Feira,4.510948,0.077222,2,1
sethvargo,4,5,2,0,2,2,0,madrugada,0,26,quarta-feira,26.335467,0.450831,4,1
sschuberth,1,22,1,0,1,1,0,manha,0,3,terca-feira,4.739091,0.081127,0,1
sethvargo,3,41,6,0,6,6,0,manha,0,68,segunda-feira,79.653006,1.36356,16,1
sethvargo,4,9,5,2,3,3,0,madrugada,0,70,segunda-feira,24.650361,0.422918,0,1
sethvargo,2,19,3,0,3,2,1,madrugada,0,25,segunda-feira,20.412759,0.350215,14,1
sethvargo,1,20,2,0,2,2,0,madrugada,0,5,segunda-feira,8.68196,0.148954,2,0
gildegoma,14,52,4,0,4,4,0,manha,0,122,sexta-feira,81.220186,1.425063,0,1
miguel250,1,10,1,0,1,1,0,noite,0,2,quinta-Feira,4.559589,0.080001,0,0
peckpeck,1,44,1,0,1,1,0,manha,0,3,quarta-feira,4.360602,0.07651,0,0
alh84001,3,41,5,2,3,4,0,tarde,0,79,domingo,17.730465,0.311093,1,1
jeremyplichta,1,6,1,0,1,1,0,madrugada,0,2,sabado,4.559589,0.080001,0,1
iNecas,1,40,1,0,1,1,0,tarde,0,6,sexta-feira,3.963605,0.069544,0,0
sneal,1,15,1,0,1,1,0,madrugada,0,2,quarta-feira,4.660794,0.081777,1,1
Ryanbarnes420,1,34,1,0,1,1,0,noite,0,2,terca-feira,4.728161,0.082959,1,1
chrisbaldauf,1,14,1,0,1,1,0,noite,0,2,terca-feira,4.676067,0.082045,22,1
strzibny,1,25,1,0,1,1,0,manha,0,2,terca-feira,4.641145,0.081432,1,1
sethvargo,5,13,27,18,9,19,0,noite,0,8,sexta-feira,277.035434,4.86075,0,1
iNecas,1,102,5,0,5,5,0,tarde,0,35,sexta-feira,20.562484,0.360781,2,0
berendt,1,91,1,0,1,1,0,noite,0,10,quarta-feira,5.085965,0.089237,0,1
linyows,2,16,2,0,2,2,0,tarde,0,7,quarta-feira,4.632734,0.081284,0,1
dcbw,2,34,1,0,1,1,0,noite,0,4,terca-feira,8.620649,0.151255,0,1
jim-minter,1,92,1,0,1,1,0,noite,0,2,terca-feira,4.236936,0.07434,0,1
leocassarani,1,35,1,0,1,0,1,noite,0,0,segunda-feira,4.10931,0.072101,2,1
aneeshusa,3,20,1,0,1,1,0,madrugada,0,22,domingo,9.030566,0.158447,0,1
bergman,1,58,1,0,1,1,0,noite,0,18,quinta-Feira,4.040547,0.070894,2,1
deviantintegral,3,26,1,0,1,1,0,noite,0,7,quarta-feira,4.784555,0.083948,0,1
c33s,1,74,4,2,2,0,2,madrugada,0,0,quarta-feira,9.752635,0.171117,0,1
mrahtz,1,32,1,0,1,1,0,tarde,0,6,terca-feira,4.291299,0.075294,0,1
mahnkong,4,66,6,0,6,6,0,noite,0,94,sabado,55.200987,0.968539,0,0
agdula,2,36,1,0,1,1,0,noite,0,25,sabado,9.275471,0.162744,0,1
taliesins,1,20,5,1,4,5,0,noite,0,79,sabado,21.753574,0.381681,4,1
taliesins,2,100,29,7,22,27,1,noite,0,830,sabado,125.375771,2.199803,3,0
legal90,1,30,1,0,1,1,0,tarde,0,2,quinta-Feira,4.649776,0.081583,0,1
Stanzilla,2,26,4,1,3,3,0,noite,0,625,terca-feira,12.973723,0.227633,1,1
agdula,1,45,1,0,1,1,0,tarde,0,23,segunda-feira,4.477487,0.078561,0,1
dmangot,1,59,1,0,1,1,0,noite,0,2,domingo,4.631804,0.081268,3,1
paul-krohn,1,21,2,0,2,1,1,noite,0,4,domingo,8.479319,0.148775,2,1
brooksbrown,1,69,1,0,1,1,0,madrugada,0,2,sexta-feira,5.203406,0.091297,0,1
brooksbrown,1,28,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.422355,0.077593,0,1
otagi,5,16,3,1,2,3,0,tarde,0,6,quarta-feira,13.599476,0.238612,0,1
jfbibeau,1,63,1,0,1,1,0,tarde,0,39,terca-feira,5.162035,0.090572,0,1
frapposelli,2,9,9,8,1,8,0,noite,0,107,segunda-feira,21.977473,0.388093,0,1
purpleidea,1,51,3,0,3,3,0,manha,0,19,sabado,12.943793,0.22857,5,1
bluehaoran,1,33,1,0,1,1,0,madrugada,0,2,sexta-feira,4.487267,0.079239,0,1
michaeldhopkins,3,33,4,1,3,4,0,madrugada,0,622,sexta-feira,17.481666,0.308703,5,1
benh57,17,225,6,0,6,5,1,manha,0,485,quinta-Feira,104.626682,1.847566,12,1
sneal,1,28,1,0,1,1,0,tarde,0,4,terca-feira,4.820847,0.08513,0,1
notpeter,1,8,1,0,1,1,0,noite,0,1,segunda-feira,4.470061,0.078935,5,1
quirkey,1,91,1,0,1,1,0,noite,0,25,segunda-feira,4.292452,0.075799,2,1
stoned,1,5,1,0,1,0,1,tarde,0,0,sabado,4.150972,0.073301,5,1
thenewwazoo,1,34,1,0,1,1,0,noite,0,3,sexta-feira,4.384445,0.077423,0,1
legal90,2,108,1,0,1,1,0,tarde,0,6,sabado,8.865671,0.156556,0,1
randonn,1,113,1,0,1,1,0,tarde,0,97,quinta-Feira,4.533585,0.080057,8,0
jackywu,1,40,1,0,1,1,0,manha,0,11,quinta-Feira,4.075325,0.071964,5,1
bdwyertech,1,34,1,0,1,1,0,madrugada,0,2,quarta-feira,5.279964,0.093237,0,1
vvchik,5,62,8,2,6,7,0,noite,0,82,segunda-feira,40.524259,0.715601,7,1
ssugar,1,36,1,0,1,1,0,tarde,0,13,segunda-feira,4.975329,0.087858,7,1
marsam,1,20,2,0,2,2,0,madrugada,0,3,domingo,10.218598,0.180446,8,1
Mattias-,1,46,1,0,1,1,0,noite,0,33,quarta-feira,4.277198,0.075529,2,1
obnoxxx,1,34,1,0,1,1,0,noite,0,2,segunda-feira,4.242004,0.074908,0,1
MiLk,1,48,1,0,1,1,0,tarde,0,2,segunda-feira,4.622722,0.081631,8,1
johnsonj,3,68,3,1,2,3,0,madrugada,0,30,segunda-feira,41.222041,0.727925,0,1
johnsonj,1,15,1,0,1,1,0,madrugada,0,12,segunda-feira,4.839203,0.085454,7,0
eidge,1,164,9,5,4,8,1,noite,0,218,quinta-Feira,40.617549,0.71725,7,0
eidge,1,4,6,4,2,6,0,noite,0,256,quinta-Feira,26.850079,0.474136,0,1
francisoud,1,9,1,0,1,1,0,madrugada,0,1,quinta-Feira,4.476944,0.079057,0,0
jfbibeau,3,107,3,0,3,3,0,noite,0,17,quarta-feira,4.393452,0.077582,10,1
follower,1,3,1,0,1,1,0,noite,0,2,domingo,4.6617,0.082319,6,1
duro,1,55,3,0,3,2,1,madrugada,0,22,sabado,12.928151,0.228293,0,1
aogail,1,96,1,0,1,1,0,noite,0,4,sexta-feira,4.339395,0.076628,0,1
phinze,1,107,1,0,1,0,0,madrugada,0,0,sexta-feira,4.701851,0.083028,0,1
Turbo87,1,8,2,0,2,1,1,noite,0,1,quinta-Feira,8.808985,0.155555,0,0
Jamezz,2,48,1,0,1,1,0,manha,0,17,quinta-Feira,4.988203,0.088085,0,1
valchonedelchev,2,7,1,0,1,1,0,madrugada,0,7,quinta-Feira,9.693975,0.171182,0,0
timoguin,3,100,2,0,2,2,0,madrugada,0,36,quinta-Feira,8.642476,0.152614,6,1
ibizaman,3,45,3,0,3,3,0,madrugada,0,145,quinta-Feira,17.127388,0.302446,10,0
marxarelli,1,36,2,0,2,2,0,noite,0,23,quarta-feira,8.693181,0.15351,4,1
ibizaman,1,36,1,0,1,1,0,noite,0,36,terca-feira,4.331747,0.076493,0,0
laetificat,2,15,3,2,1,3,0,tarde,0,59,terca-feira,12.715249,0.224534,0,0
ivuk,1,27,1,0,1,1,0,madrugada,0,2,segunda-feira,4.741481,0.083728,4,1
trensen,1,31,1,0,1,1,0,noite,0,51,domingo,4.458881,0.078738,0,0
sethvargo,3,19,4,0,4,3,0,noite,0,127,sexta-feira,18.471129,0.326172,6,1
edward010,1,23,2,0,2,1,1,tarde,0,5,sexta-feira,8.754341,0.154588,20,1
trensen,1,34,2,0,2,1,1,noite,0,9,quinta-Feira,8.720942,0.153998,20,1
davidsantoso,1,93,1,0,1,1,0,noite,0,2,terca-feira,4.873124,0.086052,4,1
erwinvaneyk,1,46,1,0,1,1,0,tarde,0,8,terca-feira,4.833812,0.086103,4,1
gpkfr,2,30,5,3,2,4,0,noite,0,52,sexta-feira,17.398289,0.309909,0,1
hashar,1,7,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.721091,0.084095,24,1
choffee,2,10,3,0,3,3,0,noite,0,8,quarta-feira,8.870866,0.158013,5,1
agreenbhm,2,25,1,0,1,1,0,noite,0,6,terca-feira,4.90961,0.087453,0,1
gildegoma,2,570,29,18,9,26,1,noite,2,2100,domingo,117.515281,2.094973,19,1
YpNo,6,14,10,1,9,8,0,madrugada,0,319,domingo,35.423261,0.631499,4,1
kikitux,1,32,1,0,1,1,0,manha,0,37,sabado,4.983238,0.088837,0,1
mafrosis,1,26,1,0,1,1,0,madrugada,0,7,sabado,4.570787,0.081483,2,1
tioteath,2,2,1,0,1,1,0,tarde,0,4,quinta-Feira,4.546348,0.081047,0,1
kikitux,1,15,1,0,1,1,0,madrugada,0,14,quinta-Feira,4.908315,0.087501,5,1
kev009,1,21,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.61909,0.082345,11,1
timsutton,1,41,3,2,1,3,0,noite,0,52,quarta-feira,13.656126,0.243449,0,1
frankbb,1,92,1,0,1,1,0,noite,0,2,quarta-feira,4.670897,0.083268,2,1
mixpix3ls,1,38,1,0,1,1,0,manha,0,3,segunda-feira,4.621907,0.082395,2,1
SchnWalter,1,26,1,0,1,1,0,madrugada,0,2,domingo,4.221009,0.075248,0,1
channui,1,59,3,2,1,3,0,madrugada,0,52,quinta-Feira,13.55846,0.241708,0,1
sethvargo,7,10,3,0,3,3,0,madrugada,0,52,quarta-feira,21.906382,0.390527,13,1
Scythril,1,51,3,2,1,3,0,madrugada,0,18,quarta-feira,13.576571,0.242031,0,1
terceiro,1,250,1,0,1,1,0,tarde,0,2,terca-feira,4.029266,0.07183,0,0
Keeguon,1,43,1,0,1,1,0,tarde,0,2,terca-feira,4.611937,0.082217,0,1
rgardler,1,7,1,0,1,1,0,madrugada,0,8,terca-feira,4.647609,0.082853,0,0
sethvargo,2,11,2,0,2,2,0,madrugada,0,2,terca-feira,3.846466,0.068571,5,1
sethvargo,1,33,1,0,1,1,0,noite,0,27,segunda-feira,4.979832,0.088774,0,1
aknrdureegaesr,1,42,1,0,1,1,0,noite,0,5,quinta-Feira,4.424409,0.078873,0,1
blairham,1,13,1,0,1,1,0,madrugada,0,30,quinta-Feira,4.692222,0.083648,0,1
radeksimko,2,144,1,0,1,1,0,madrugada,0,20,quinta-Feira,9.022578,0.160845,3,0
aknrdureegaesr,2,97,2,0,2,2,0,noite,0,14,quarta-feira,9.37967,0.167211,0,1
alfonsodev,1,25,1,0,1,1,0,noite,0,4,domingo,4.844117,0.086285,3,0
phinze,1,59,1,0,1,1,0,noite,0,2,sabado,4.455701,0.079366,2,1
dragon788,2,7,1,0,1,1,0,madrugada,0,9,sexta-feira,8.678691,0.154587,3,1
phinze,1,42,5,0,5,5,0,noite,0,8,quarta-feira,21.911493,0.390305,7,1
berendt,1,15,1,0,1,1,0,noite,0,9,quarta-feira,4.679719,0.083359,0,1
sneal,1,22,3,0,2,3,0,madrugada,1,174,quarta-feira,9.191831,0.163732,15,1
simonjbeaumont,1,122,2,0,2,2,0,noite,0,4,terca-feira,9.495334,0.169139,5,1
simonvetter,2,88,2,0,2,2,0,tarde,0,4,terca-feira,4.38286,0.078071,3,1
voxik,1,13,0,0,0,1,0,tarde,0,0,terca-feira,0,0,0,1
mbrodala,2,51,2,0,2,2,0,manha,0,2,terca-feira,4.440035,0.07909,3,1
BlakeMesdag,1,44,2,1,1,2,0,manha,0,2,terca-feira,9.172867,0.163395,9,0
clayallsopp,1,34,1,0,1,1,0,madrugada,0,4,terca-feira,4.523172,0.08057,2,1
tomassrnka,4,41,9,2,5,7,0,madrugada,2,116,domingo,49.44743,0.880798,2,1
mwrock,2,152,1,0,1,1,0,noite,0,48,sabado,4.191158,0.074656,2,1
sneal,1,19,1,0,1,1,0,noite,0,3,sexta-feira,4.385084,0.078111,0,1
thierrymarianne,1,8,1,0,1,1,0,noite,0,2,quinta-Feira,4.818173,0.085825,9,1
vvchik,2,64,5,0,5,5,0,noite,0,88,quarta-feira,18.548447,0.330401,0,1
clintoncwolfe,1,16,3,2,1,3,0,manha,0,54,quarta-feira,13.66568,0.243425,0,1
clinstid,9,8,3,0,3,1,0,madrugada,0,30,quarta-feira,27.590568,0.492229,2,1
clintoncwolfe,1,6,3,2,1,3,0,madrugada,0,54,quarta-feira,13.27317,0.2368,9,1
sethvargo,2,12,1,0,1,1,0,noite,0,163,segunda-feira,4.816457,0.08593,0,1
hdeheer,1,12,1,0,1,1,0,noite,0,1,segunda-feira,4.538911,0.080978,0,1
windowsrefund,1,25,2,0,2,1,1,noite,0,9,domingo,8.325302,0.148531,34,1
tomassrnka,3,38,8,2,4,6,0,noite,2,159,domingo,71.321529,1.272442,0,1
bvalerius,1,14,1,0,1,1,0,noite,0,2,sexta-feira,3.777858,0.0674,0,0
obnoxxx,1,15,1,0,1,1,0,tarde,0,2,sexta-feira,4.557209,0.081371,0,1
peterood,1,2,1,0,1,0,1,tarde,0,0,sexta-feira,4.288933,0.076581,32,1
sethvargo,5,6,6,1,5,4,1,madrugada,0,53,sexta-feira,21.939106,0.391732,4,1
dcarley,1,117,1,0,1,1,0,tarde,0,5,quinta-Feira,4.632737,0.08272,0,1
fgrehm,1,37,1,0,1,1,0,madrugada,0,8,quinta-Feira,4.71777,0.084238,0,0
sethvargo,5,93,7,0,7,7,0,noite,0,57,quarta-feira,22.677405,0.404921,15,1
johnclaus,1,2,1,0,1,1,0,madrugada,0,2,quarta-feira,4.648121,0.082987,103,1
mitchellh,4,171,9,0,9,9,0,noite,0,113,terca-feira,13.304204,0.237533,7,1
sethvargo,1,7,1,0,1,1,0,madrugada,0,2,terca-feira,4.538246,0.081025,2,1
sethvargo,1,10,1,0,1,1,0,madrugada,0,2,terca-feira,3.741563,0.066801,5,1
sethvargo,1,23,42,0,42,42,0,madrugada,0,163,terca-feira,181.068504,3.232706,17,1
sethvargo,3,24,40,0,40,40,0,madrugada,0,368,terca-feira,515.660158,9.206338,13,1
sethvargo,2,11,2,0,2,2,0,madrugada,0,10,terca-feira,9.375294,0.167382,6,1
sethvargo,3,19,4,0,4,4,0,noite,0,6,segunda-feira,8.613787,0.153788,13,1
AntonioMeireles,1,12,2,0,2,2,0,tarde,0,5,segunda-feira,8.283861,0.147898,13,0
AntonioMeireles,1,15,1,0,1,1,0,tarde,0,2,segunda-feira,4.041449,0.072155,2,0
sethvargo,9,6,4,0,4,4,0,madrugada,0,49,segunda-feira,38.738987,0.691655,3,1
tomassrnka,1,18,1,0,1,1,0,madrugada,0,4,domingo,4.622234,0.082527,0,1
wkolean,1,25,3,0,3,3,0,madrugada,0,18,sexta-feira,12.98112,0.231768,10,1
sethvargo,1,10,1,0,1,1,0,noite,0,18,terca-feira,4.800537,0.08571,5,1
