@relation 'scikit-learn-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,10,11,12,1,9,16,17,8,14,18,15,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {madrugada,noite,manha,tarde}
@attribute description_length numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute created_at_week_day {terca-feira,domingo,sexta-feira,segunda-feira,sabado,quinta-Feira,quarta-feira}
@attribute files_deleted numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute files_added numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute src_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
2,noite,29,1,1,1,quarta-feira,0,9,4.411329,0,0,0.09247,0,2,1
5,madrugada,8,10,10,9,quarta-feira,0,28,62.328671,0,0,1.306524,229,32,1
1,madrugada,24,1,1,0,terca-feira,0,0,4.911247,0,1,0.102949,0,5,1
1,madrugada,13,2,2,2,terca-feira,0,5,9.020909,0,0,0.189095,3,10,1
1,madrugada,17,1,1,1,terca-feira,0,0,4.607154,0,0,0.096574,2,5,1
3,madrugada,14,1,1,1,terca-feira,0,0,4.266855,0,0,0.089441,4,18,1
1,madrugada,4,1,1,0,terca-feira,0,0,4.382584,0,0,0.091867,0,1,1
1,madrugada,21,1,1,1,terca-feira,0,0,4.206918,0,0,0.088185,2,12,1
4,madrugada,57,3,3,1,terca-feira,0,0,17.259344,0,0,0.361788,16,26,1
1,madrugada,56,1,1,1,terca-feira,0,0,4.683481,0,0,0.098174,8,2,1
3,madrugada,70,1,1,0,terca-feira,0,0,14.421691,0,0,0.302305,0,108,1
2,noite,4,2,2,0,segunda-feira,0,0,8.910377,0,0,0.186778,0,10,0
3,noite,14,1,3,0,segunda-feira,1,0,6.675631,1,1,0.139934,0,11,0
7,noite,6,2,2,0,segunda-feira,0,0,4.893888,0,0,0.102585,0,6,1
1,noite,5,1,1,0,segunda-feira,0,0,4.808184,0,0,0.100788,0,11,1
2,noite,9,1,2,0,segunda-feira,0,0,14.174866,1,0,0.297131,0,15,1
2,noite,10,1,1,0,segunda-feira,0,0,4.677085,0,0,0.09804,0,108,1
2,noite,10,1,1,0,segunda-feira,0,0,9.858503,0,0,0.206652,0,108,1
2,madrugada,8,6,6,6,segunda-feira,0,0,13.103093,0,0,0.274665,160,47,1
1,manha,92,1,1,1,domingo,0,0,4.567181,0,0,0.095737,27,10,1
1,madrugada,36,1,1,0,sexta-feira,0,0,4.712081,0,0,0.098772,0,13,1
1,madrugada,20,1,1,1,sexta-feira,0,0,4.752596,0,0,0.099622,1,5,1
1,noite,30,1,1,1,quinta-Feira,0,0,3.026258,0,0,0.063434,2,4,1
1,noite,8,1,1,1,quinta-Feira,0,0,4.909182,0,0,0.102903,11,0,1
1,noite,41,1,1,1,quinta-Feira,0,0,4.367969,0,0,0.091559,2,2,1
3,tarde,19,1,1,0,quinta-Feira,0,0,4.670255,0,0,0.097895,0,9,1
1,tarde,6,1,1,1,quinta-Feira,0,0,4.212422,0,0,0.088298,2,5,1
2,madrugada,19,3,3,2,quinta-Feira,0,40,13.59554,0,0,0.284981,29,110,1
1,noite,93,2,2,2,quarta-feira,0,2,9.015269,0,0,0.188972,15,41,1
1,tarde,19,2,2,2,quarta-feira,0,0,8.579088,0,0,0.172507,6,2,0
2,madrugada,20,3,3,2,quarta-feira,0,33,9.027519,0,0,0.181523,112,10,1
3,madrugada,10,2,2,2,quarta-feira,0,13,4.56488,0,0,0.09179,2,9,1
2,tarde,9,1,1,1,terca-feira,0,0,8.588967,0,0,0.172705,7,3,0
1,noite,19,1,1,1,segunda-feira,0,5,4.466471,0,0,0.089811,0,11,1
1,tarde,32,2,2,0,segunda-feira,0,0,9.125534,0,0,0.183494,0,13,1
1,noite,9,1,1,1,domingo,0,3,4.139995,0,0,0.083246,0,11,0
2,madrugada,16,3,3,3,domingo,0,0,24.830664,0,0,0.499289,12,45,1
2,madrugada,13,2,2,2,domingo,0,0,9.176005,0,0,0.184509,36,0,1
1,noite,13,1,1,0,sabado,0,0,4.444384,0,0,0.089367,0,6,1
3,tarde,20,1,1,0,sabado,0,0,4.965592,0,0,0.099847,0,20,1
1,noite,8,1,1,0,sexta-feira,0,0,4.261693,0,0,0.085693,0,2,1
2,tarde,12,1,1,0,sexta-feira,0,0,4.486192,0,0,0.090207,0,4,0
3,madrugada,6,1,1,0,sexta-feira,0,0,4.23576,0,0,0.085172,0,32,1
1,madrugada,8,1,1,0,sexta-feira,0,0,4.767582,0,0,0.095865,0,5,1
1,madrugada,36,1,1,1,sexta-feira,0,3,4.698384,0,0,0.094474,0,22,1
2,tarde,7,4,4,2,quinta-Feira,0,0,28.343354,0,1,0.571002,17,14,1
1,manha,38,1,1,1,quinta-Feira,0,0,3.63127,0,0,0.073155,4,24,1
3,manha,4,1,1,1,quinta-Feira,0,0,9.221132,0,0,0.185768,66,2,1
2,madrugada,28,22,22,19,quinta-Feira,0,0,180.698388,0,0,3.640332,816,259,1
