@relation 'kuma-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,5,7,10,11,12,13,8,17,1,15,18,14,9,53'

@attribute description_length numeric
@attribute created_at_day_turn {noite,madrugada,manha,tarde}
@attribute intra_branch {true,false}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute files_added numeric
@attribute new_entropy numeric
@attribute created_at_week_day {quinta-Feira,quarta-feira,sabado,sexta-feira,terca-feira,domingo,segunda-feira}
@attribute src_churn numeric
@attribute entropy_diff numeric
@attribute other_files numeric
@attribute files_deleted numeric
@attribute status {0,1}

@data
18,noite,true,2,1,1,0,1,0,9.207941,segunda-feira,0,0.036016,0,0,1
24,noite,true,1,2,4,1,0,2,21.740677,segunda-feira,2,0.085037,3,0,1
52,noite,false,2,3,3,1,2,0,14.112568,sabado,0,0.055201,0,0,1
13,noite,true,1,2,2,0,0,0,9.465469,sexta-feira,0,0.037024,1,0,0
15,madrugada,true,1,1,1,0,0,0,4.849862,sexta-feira,0,0.018974,0,0,1
24,madrugada,true,2,3,3,2,1,0,22.445263,sexta-feira,8,0.08781,0,0,1
37,noite,false,1,1,1,0,1,0,4.443954,quinta-Feira,0,0.017386,0,0,1
9,madrugada,false,1,18,20,13,4,1,82.043378,quinta-Feira,108,0.32097,3,1,1
30,madrugada,false,1,1,1,0,1,0,4.551981,quinta-Feira,0,0.017808,0,0,1
10,madrugada,false,2,6,7,7,0,1,18.68188,quinta-Feira,176,0.073087,0,0,1
7,madrugada,false,1,1,4,1,0,3,12.952303,quarta-feira,1,0.050662,0,0,0
8,madrugada,false,1,61,61,1,0,0,284.111496,quarta-feira,2,1.111278,0,0,1
10,madrugada,true,1,3,3,1,0,0,14.569296,quarta-feira,3,0.057021,2,0,1
8,noite,false,1,1,4,1,0,3,13.239965,terca-feira,1,0.051818,0,0,1
6,madrugada,false,1,3,3,1,0,0,14.024727,terca-feira,5,0.054922,1,0,1
63,madrugada,false,1,4,4,0,4,0,17.3628,terca-feira,0,0.067994,0,0,1
55,madrugada,false,2,4,4,2,2,0,35.249686,terca-feira,160,0.13804,0,0,1
6,noite,false,2,3,3,1,0,0,9.923577,segunda-feira,8,0.038861,0,0,1
7,noite,false,1,1,4,1,0,3,13.088692,segunda-feira,1,0.051256,0,0,1
9,noite,false,1,1,1,0,1,0,3.750341,segunda-feira,0,0.014687,0,0,1
10,madrugada,false,2,1,1,1,0,0,8.989767,quinta-Feira,29,0.035204,0,0,1
5,madrugada,true,30,69,92,80,145,18,636.89607,quinta-Feira,1768,2.494117,21,5,0
65,noite,true,13,12,258,67,97,3,51.584571,quarta-feira,7541,0.202008,118,243,1
12,madrugada,false,2,4,4,0,4,0,36.310376,quarta-feira,0,0.142193,0,0,1
3,madrugada,false,1,1,1,0,1,0,3.88931,quarta-feira,0,0.015231,0,0,1
8,noite,false,1,1,1,0,1,0,3.941453,terca-feira,0,0.015435,0,0,1
24,noite,false,2,1,1,1,0,0,8.924942,terca-feira,12,0.03495,0,0,1
32,noite,false,1,1,2,0,1,1,9.766314,sexta-feira,0,0.038246,1,0,0
49,noite,false,1,4,120,61,61,1,19.00033,sexta-feira,3678,0.074407,21,115,0
52,madrugada,false,1,7,7,1,6,0,30.028514,sexta-feira,2,0.117615,0,0,1
21,noite,false,1,1,1,0,1,0,3.513725,quinta-Feira,0,0.013762,0,0,1
67,noite,true,2,2,3,2,0,1,28.087799,quinta-Feira,122,0.110013,0,0,1
7,madrugada,true,3,11,13,11,0,1,149.485652,quinta-Feira,1229,0.585591,1,1,1
49,madrugada,false,2,4,5,0,5,1,39.650613,quarta-feira,0,0.155359,0,0,1
7,madrugada,false,1,2,2,1,1,0,9.029332,quarta-feira,10,0.035379,0,0,1
22,madrugada,true,3,2,2,2,0,0,8.732356,terca-feira,22,0.034666,0,0,1
19,madrugada,false,1,5,5,1,4,0,22.129545,terca-feira,10,0.087851,0,0,1
20,madrugada,false,1,2,3,0,3,1,13.318263,sabado,0,0.052871,0,0,1
9,noite,false,1,2,2,0,2,0,9.570512,sexta-feira,0,0.037993,0,0,0
3,noite,true,8,26,120,71,0,87,368.076403,sexta-feira,3741,1.461204,39,7,1
3,tarde,false,3,1,1,0,1,0,4.32439,quinta-Feira,0,0.017167,0,0,0
20,madrugada,false,1,1,1,0,1,0,4.32439,quinta-Feira,0,0.017167,0,0,0
41,madrugada,false,1,4,4,0,4,0,18.570172,quarta-feira,0,0.07375,0,0,1
10,madrugada,false,1,1,1,0,0,0,4.310931,quarta-feira,0,0.017121,0,0,1
9,madrugada,false,1,1,1,0,1,0,4.28719,quarta-feira,0,0.017026,0,0,1
13,madrugada,false,1,1,1,0,1,0,4.509892,quarta-feira,0,0.017911,0,0,1
9,madrugada,false,1,1,1,0,0,0,4.613242,quarta-feira,0,0.018321,0,0,1
6,madrugada,false,1,2,2,0,0,0,9.191355,quarta-feira,0,0.036503,1,0,1
115,manha,false,1,3,4,0,4,1,18.584602,terca-feira,0,0.073958,0,0,1
140,madrugada,false,1,4,4,0,4,0,17.992421,terca-feira,0,0.071602,0,0,1
19,noite,false,1,1,1,1,0,0,4.817405,domingo,2,0.019171,0,0,1
7,noite,false,2,2,14,11,3,11,131.573736,sexta-feira,1762,0.523186,1,1,1
