@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,5,6,9,8,10,14,1,11,12,17,18,16,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute other_files numeric
@attribute created_at_week_day {domingo,quarta-feira,terca-feira,segunda-feira,sexta-feira,quinta-Feira,sabado}
@attribute files_changed numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
1,noite,false,11,0,0,1,1,sabado,1,0,4.699589,0.055057,0,0,1
1,noite,false,152,0,0,1,0,quinta-Feira,1,1,4.653331,0.054515,0,0,1
1,tarde,false,87,0,0,8,0,quinta-Feira,8,8,36.220985,0.424338,0,4,1
1,tarde,false,164,0,0,3,0,quinta-Feira,3,3,14.115564,0.165367,0,5,1
1,noite,false,9,0,0,1,0,segunda-feira,1,1,4.804717,0.056288,0,15,1
1,tarde,false,14,0,0,1,0,segunda-feira,1,1,5.059286,0.059271,0,18,1
7,madrugada,false,89,0,2,26,12,quinta-Feira,28,15,256.36015,3.071348,0,29,1
1,tarde,false,223,0,0,5,0,segunda-feira,5,5,23.433055,0.283355,0,17,1
1,tarde,false,47,0,0,13,0,sexta-feira,13,13,61.010536,0.737748,0,12,1
2,tarde,false,4,0,1,4,1,sexta-feira,5,4,38.115607,0.460899,11,10,1
4,tarde,false,44,0,0,67,66,sexta-feira,67,1,639.848257,7.737131,0,21,1
10,tarde,false,47,1,2,11,0,quinta-Feira,14,14,67.010732,0.810804,0,33,1
1,tarde,false,42,0,0,1,0,quarta-feira,1,1,4.643949,0.05619,1,9,1
3,tarde,false,11,0,0,4,0,quarta-feira,4,4,23.082881,0.279293,0,6,1
1,tarde,false,21,0,0,11,1,quarta-feira,11,10,51.274046,0.620394,0,13,1
1,madrugada,false,9,0,0,1,0,quarta-feira,1,1,4.76851,0.057697,0,2,1
1,madrugada,false,32,0,0,1,0,quarta-feira,1,1,4.626982,0.055984,0,13,1
5,noite,false,18,0,0,1,0,sabado,1,1,9.537019,0.115953,0,0,0
12,manha,false,56,0,15,11,8,sexta-feira,26,14,243.668566,2.962575,146,7,1
2,tarde,false,70,40,6,23,68,segunda-feira,69,63,265.685579,3.242642,138,83,0
2,manha,false,23,0,0,1,1,segunda-feira,1,0,9.208052,0.112383,0,10,1
1,tarde,false,36,0,0,1,1,sexta-feira,1,0,4.506836,0.055005,0,4,1
3,noite,false,10,0,0,2,0,quinta-Feira,2,2,26.829258,0.327446,0,0,1
22,manha,false,57,0,8,15,1,quinta-Feira,23,21,241.860264,2.951856,558,12,1
29,noite,false,135,1,8,381,12,quarta-feira,390,378,781.834549,9.542135,231,120,1
2,tarde,false,14,0,0,2,0,quarta-feira,2,2,14.142757,0.17261,0,8,1
1,tarde,false,9,0,0,1,1,quarta-feira,1,0,4.677693,0.05709,0,3,1
2,tarde,false,22,0,0,5,0,quinta-Feira,5,5,22.909682,0.282978,0,32,1
2,tarde,false,31,0,0,1,0,segunda-feira,1,1,9.307072,0.11496,0,3,1
1,manha,false,218,0,0,1,0,segunda-feira,1,1,4.909397,0.06064,0,7,1
2,noite,false,5,0,0,1,0,domingo,1,1,8.669892,0.107089,0,0,1
2,noite,false,16,0,0,2,0,quinta-Feira,2,2,16.976762,0.209695,4,0,1
1,noite,false,30,0,0,1,1,quinta-Feira,1,0,4.643417,0.057355,0,6,1
