@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,7,10,6,12,2,11,15,17,18,16,5,8,9,14,53'

@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute description_length numeric
@attribute src_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_changed numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute intra_branch {false,true}
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute status {0,1}

@data
false,2,2,28,0,madrugada,3,0,18.912994,0.318439,0,false,1,0,3,1
false,1,2,40,2,madrugada,2,5,8.839263,0.14393,14,false,0,0,0,1
false,1,4,40,3,madrugada,4,10,17.882283,0.291175,41,false,0,0,1,1
false,1,1,6,0,noite,1,0,3.853688,0.062749,0,false,0,0,1,1
false,1,1,6,1,madrugada,1,2,4.561249,0.07427,0,false,0,0,0,1
false,2,3,16,0,noite,4,0,23.196595,0.390903,0,false,1,0,4,1
false,1,1,110,1,noite,1,1,4.643993,0.075682,0,false,0,0,0,1
false,1,1,17,0,noite,1,0,4.397663,0.071667,0,false,0,0,0,1
false,2,2,45,2,madrugada,2,18,18.453182,0.300726,36,false,0,0,0,1
false,2,2,64,0,noite,2,0,18.7373,0.305356,0,false,0,0,2,1
false,2,6,70,5,noite,9,81,84.51745,1.377356,67,false,3,0,1,1
false,1,1,16,1,madrugada,1,4,4.736074,0.077182,0,false,0,0,0,1
false,1,2,12,2,madrugada,2,12,8.63752,0.140763,23,false,0,0,0,1
false,2,4,13,4,noite,4,151,35.870539,0.582739,66,false,0,0,0,1
false,2,3,10,0,noite,5,0,17.663042,0.296674,0,false,1,1,5,1
false,1,1,16,1,noite,1,6,4.31218,0.070054,0,false,0,0,0,1
false,2,3,10,0,noite,5,0,17.663042,0.296674,0,false,1,1,5,1
false,2,4,86,4,madrugada,4,43,17.770251,0.288686,75,false,0,0,0,1
false,1,2,22,2,madrugada,2,13,9.010674,0.146383,7,false,0,0,0,1
false,1,2,32,0,madrugada,2,0,7.448986,0.125143,0,false,0,0,1,1
false,2,2,7,0,noite,8,0,29.630231,0.500137,0,false,6,0,6,1
false,1,2,36,2,noite,2,4,8.728053,0.142367,6,false,0,0,0,1
false,1,1,43,0,noite,1,0,4.768379,0.077781,0,false,0,0,1,0
false,1,1,47,1,noite,1,12,4.571266,0.074565,0,false,0,0,0,1
false,1,2,21,2,madrugada,2,4,8.659229,0.141247,85,false,0,0,0,1
false,1,1,24,0,noite,1,0,4.449414,0.072578,0,false,0,0,0,1
false,2,4,11,2,manha,4,47,37.620942,0.613665,102,false,0,0,0,1
false,1,1,27,0,noite,1,0,4.528976,0.073876,0,false,0,0,0,1
false,1,1,35,0,madrugada,1,0,5.109561,0.083346,0,false,0,0,1,1
false,2,3,21,1,noite,3,14,26.792998,0.437037,0,false,0,0,2,1
false,2,2,54,2,madrugada,2,21,17.769192,0.289844,35,false,0,0,0,1
false,1,1,5,0,madrugada,1,0,4.801101,0.078313,0,false,0,0,1,1
false,1,2,81,2,madrugada,2,29,9.593944,0.156492,0,false,0,0,0,1
false,1,3,23,3,madrugada,3,54,13.911109,0.226911,96,false,0,0,0,1
false,2,5,53,4,madrugada,5,138,41.337825,0.674296,130,false,0,0,0,1
false,1,2,69,2,noite,2,4,8.965896,0.146256,51,false,0,0,0,1
false,1,1,61,1,noite,1,3,4.881989,0.079638,0,false,0,0,0,1
false,2,3,66,0,noite,4,0,18.473595,0.31208,0,false,1,0,4,1
false,2,2,38,2,madrugada,2,57,18.519409,0.302344,94,false,0,0,0,1
false,1,1,70,0,madrugada,1,0,4.978685,0.081281,0,false,0,0,1,1
false,1,4,55,4,madrugada,4,27,18.407528,0.300516,19,false,0,0,0,1
false,1,1,11,1,madrugada,1,2,4.580556,0.074781,0,false,0,0,0,1
false,1,4,18,4,madrugada,4,44,0,0,58,false,0,0,0,1
false,1,2,13,2,noite,2,11,8.110284,0.132406,3,false,0,0,0,1
false,1,2,10,2,noite,2,3,9.241407,0.150872,17,false,0,0,0,1
