      appium ( )  projeto
      0.28 (   253)  requester_age
      0.26 (   147)  test_lines_per_kloc
      0.26 (   137)  test_cases_per_kloc
      0.26 (   212)  workload
      0.23 (    17)  watcher_project
      0.23 (    70)  project_age
      0.23 (   130)  sloc
      0.23 (    49)  followers
      0.17 (    44)  team_size
      0.17 (    54)  prior_interaction_issue_comments
      0.17 (    30)  prior_interaction_pr_comments
      0.17 (    75)  stars
      0.11 (    84)  prior_interaction_issue_events
      0.09 (     3)  req_follows_integrator
      0.06 (    10)  integrator_follows_req
      0    (     0)  conflict
      0    (     0)  at_mentions_description
      0    (     0)  doc_files
      0    (     0)  ci
      kuma ( )  projeto
      0.36 (   258)  files_name
      0.27 (    45)  files_deleted
      0.26 (   465)  entropy_diff
      0.26 (   354)  hotness
      0.25 (   494)  new_entropy
      0.25 (   401)  commits_on_files_touched
      0.24 (   250)  num_commits
      0.24 (   416)  commits_to_hottest_file
      0.23 (   320)  files_changed
      0.22 (   352)  created_at_day_turn
      0.22 (   255)  doc_files
      0.22 (   335)  files_modified
      0.21 (   199)  test_churn
      0.21 (   301)  src_files
      0.19 (   116)  at_mentions_comments
      0.19 (   449)  src_churn
      0.19 (    29)  watcher_project
      0.18 (    21)  at_mentions_description
      0.18 (   911)  description_length
      0.18 (   178)  files_added
      0.17 (   134)  other_files
      0.17 (   729)  prev_pull_reqs_project
      0.16 (   716)  project_succ_rate
      0.15 (   516)  sloc
      0.15 (   612)  perc_external_contribs
      0.14 (   617)  test_lines_per_kloc
      0.14 (   834)  created_at_week_day
      0.13 (   561)  test_cases_per_kloc
      0.13 (   227)  team_size
      0.13 (   560)  prev_pullreqs
      0.13 (   501)  requester_succ_rate
      0.12 (   487)  prior_interaction_pr_events
      0.12 (   465)  workload
      0.12 (   541)  project_age
      0.12 (  1007)  requester
      0.11 (   616)  requester_age
      0.11 (   431)  first_response
      0.11 (   297)  forward_links
      0.11 (   543)  asserts_per_kloc
      0.11 (   507)  stars
      0.1  (   331)  following
      0.1  (   544)  followers
      0.1  (   484)  prior_interaction_issue_comments
      0.1  (    17)  intra_branch
      0.09 (   365)  prior_interaction_pr_comments
      0.09 (    30)  main_team_member
      0.09 (   485)  prior_interaction_commits
      0.08 (  1062)  req_follows_integrator
      0.07 (   758)  integrator_follows_req
      0.07 (   108)  prior_interaction_commit_comments
      0.05 (     9)  prior_interaction_issue_events
      0    (     0)  ci
      0    (     0)  conflict
      marathon ( )  projeto
      0.57 (   223)  files_name
      0.52 (    90)  description_length
      0.51 (   101)  created_at_day_turn
      0.5  (    64)  num_commits
      0.49 (    32)  doc_files
      0.48 (    62)  src_files
      0.48 (   154)  created_at_week_day
      0.47 (    46)  files_added
      0.46 (   103)  new_entropy
      0.46 (    23)  other_files
      0.46 (   103)  entropy_diff
      0.44 (    79)  project_succ_rate
      0.43 (    61)  commits_to_hottest_file
      0.43 (    87)  commits_on_files_touched
      0.43 (    40)  asserts_per_kloc
      0.43 (    99)  src_churn
      0.43 (    73)  files_changed
      0.42 (    40)  test_churn
      0.42 (    68)  hotness
      0.4  (    48)  stars
      0.4  (    80)  prev_pull_reqs_project
      0.4  (    29)  requester_succ_rate
      0.4  (    63)  files_modified
      0.39 (    79)  perc_external_contribs
      0.39 (    52)  at_mentions_comments
      0.39 (     7)  integrator_follows_req
      0.38 (    22)  files_deleted
      0.38 (    17)  intra_branch
      0.37 (   106)  requester
      0.37 (    48)  project_age
      0.37 (    31)  team_size
      0.37 (    65)  test_lines_per_kloc
      0.37 (    49)  sloc
      0.37 (    74)  workload
      0.36 (    34)  forward_links
      0.35 (     5)  watcher_project
      0.35 (    46)  prev_pullreqs
      0.35 (    27)  at_mentions_description
      0.35 (    61)  requester_age
      0.34 (    33)  followers
      0.27 (    39)  prior_interaction_issue_comments
      0.26 (    37)  prior_interaction_commits
      0.25 (    63)  first_response
      0.24 (    49)  following
      0.24 (    24)  prior_interaction_pr_comments
      0.23 (     6)  main_team_member
      0.2  (    33)  prior_interaction_issue_events
      0.18 (    33)  prior_interaction_pr_events
      0.1  (    11)  prior_interaction_commit_comments
      0.08 (     1)  req_follows_integrator
      0    (     0)  conflict
      0    (     0)  test_cases_per_kloc
      0    (     0)  ci
      metasploit-framework ( )  projeto
      0.52 (   601)  files_name
      0.39 (    35)  doc_files
      0.37 (   154)  files_deleted
      0.36 (   759)  num_commits
      0.35 (    74)  intra_branch
      0.35 (   465)  files_added
      0.34 (   721)  created_at_day_turn
      0.34 (   399)  at_mentions_comments
      0.34 (  1144)  description_length
      0.34 (   562)  hotness
      0.33 (   470)  files_modified
      0.33 (   516)  files_changed
      0.32 (   192)  forward_links
      0.32 (   671)  commits_on_files_touched
      0.31 (  1051)  src_churn
      0.31 (   622)  commits_to_hottest_file
      0.31 (  1234)  new_entropy
      0.3  (  1159)  entropy_diff
      0.3  (   484)  src_files
      0.29 (   162)  other_files
      0.28 (  1413)  created_at_week_day
      0.28 (    58)  test_churn
      0.27 (    97)  at_mentions_description
      0.27 (  2577)  requester
      0.25 (  1120)  project_succ_rate
      0.24 (  1466)  prev_pull_reqs_project
      0.24 (   880)  workload
      0.24 (   993)  sloc
      0.24 (  1202)  perc_external_contribs
      0.23 (   602)  first_response
      0.21 (   901)  prev_pullreqs
      0.21 (   855)  test_lines_per_kloc
      0.21 (   648)  prior_interaction_pr_events
      0.2  (  1080)  project_age
      0.2  (   747)  asserts_per_kloc
      0.19 (  1116)  stars
      0.19 (   787)  test_cases_per_kloc
      0.19 (  1137)  requester_succ_rate
      0.18 (   623)  prior_interaction_issue_events
      0.17 (   111)  main_team_member
      0.17 (   665)  requester_age
      0.17 (   598)  prior_interaction_issue_comments
      0.16 (   313)  ci
      0.15 (   841)  followers
      0.15 (   106)  req_follows_integrator
      0.15 (   404)  following
      0.15 (  1076)  team_size
      0.14 (   477)  prior_interaction_commits
      0.14 (   582)  prior_interaction_pr_comments
      0.14 (   130)  watcher_project
      0.1  (   337)  integrator_follows_req
      0.1  (    55)  prior_interaction_commit_comments
      0    (     0)  conflict
      meteor ( )  projeto
      0.64 (   246)  files_name
      0.53 (    36)  forward_links
      0.5  (   330)  description_length
      0.49 (   185)  files_changed
      0.49 (   724)  requester
      0.49 (   232)  created_at_day_turn
      0.47 (   125)  at_mentions_comments
      0.47 (    36)  files_deleted
      0.45 (   217)  num_commits
      0.45 (   207)  files_modified
      0.44 (    21)  at_mentions_description
      0.43 (   485)  created_at_week_day
      0.43 (   347)  new_entropy
      0.43 (   180)  src_files
      0.42 (    86)  files_added
      0.41 (   123)  doc_files
      0.41 (   218)  src_churn
      0.41 (   346)  entropy_diff
      0.4  (   269)  commits_to_hottest_file
      0.4  (   106)  test_churn
      0.39 (    28)  intra_branch
      0.39 (   245)  hotness
      0.38 (   284)  commits_on_files_touched
      0.38 (   280)  project_succ_rate
      0.36 (   246)  perc_external_contribs
      0.36 (   106)  requester_succ_rate
      0.34 (   398)  prev_pull_reqs_project
      0.34 (    52)  other_files
      0.33 (   325)  sloc
      0.32 (   142)  prev_pullreqs
      0.32 (   316)  test_lines_per_kloc
      0.32 (   124)  prior_interaction_pr_events
      0.31 (   147)  team_size
      0.3  (   160)  prior_interaction_issue_comments
      0.3  (   271)  workload
      0.3  (   297)  asserts_per_kloc
      0.29 (   279)  stars
      0.29 (   108)  prior_interaction_issue_events
      0.28 (   178)  first_response
      0.27 (   142)  following
      0.27 (    46)  test_cases_per_kloc
      0.27 (   253)  project_age
      0.27 (    30)  main_team_member
      0.26 (    28)  prior_interaction_pr_comments
      0.26 (   157)  followers
      0.26 (   175)  requester_age
      0.24 (    18)  req_follows_integrator
      0.24 (   111)  prior_interaction_commits
      0.24 (    43)  watcher_project
      0.19 (    13)  prior_interaction_commit_comments
      0    (     0)  conflict
      0    (     0)  integrator_follows_req
      0    (     0)  ci
      nancy ( )  projeto
      0.55 (    38)  files_deleted
      0.53 (   158)  files_name
      0.47 (    94)  files_added
      0.47 (   158)  files_modified
      0.45 (    19)  forward_links
      0.45 (   153)  num_commits
      0.44 (   250)  description_length
      0.43 (    12)  doc_files
      0.42 (   200)  entropy_diff
      0.41 (   220)  src_churn
      0.41 (    79)  other_files
      0.4  (   141)  commits_to_hottest_file
      0.4  (   221)  new_entropy
      0.38 (   265)  created_at_week_day
      0.38 (   146)  src_files
      0.37 (    42)  at_mentions_comments
      0.36 (   151)  files_changed
      0.36 (   528)  requester
      0.36 (     6)  at_mentions_description
      0.35 (   181)  commits_on_files_touched
      0.35 (   112)  hotness
      0.34 (   194)  project_succ_rate
      0.34 (   150)  created_at_day_turn
      0.31 (   282)  prev_pull_reqs_project
      0.3  (   159)  team_size
      0.29 (    20)  watcher_project
      0.27 (   163)  perc_external_contribs
      0.27 (   149)  first_response
      0.27 (    94)  sloc
      0.26 (   172)  prev_pullreqs
      0.25 (   230)  workload
      0.25 (    88)  requester_succ_rate
      0.24 (   242)  stars
      0.23 (   232)  project_age
      0.23 (   152)  requester_age
      0.22 (    25)  req_follows_integrator
      0.21 (    24)  intra_branch
      0.2  (    75)  following
      0.19 (   163)  prior_interaction_issue_events
      0.18 (   185)  prior_interaction_issue_comments
      0.18 (   160)  prior_interaction_pr_events
      0.17 (   214)  followers
      0.15 (    71)  main_team_member
      0.15 (    13)  integrator_follows_req
      0.14 (    86)  prior_interaction_commits
      0.11 (    28)  prior_interaction_pr_comments
      0    (     0)  conflict
      0    (     0)  test_lines_per_kloc
      0    (     0)  prior_interaction_commit_comments
      0    (     0)  test_churn
      0    (     0)  test_cases_per_kloc
      0    (     0)  asserts_per_kloc
      0    (     0)  ci
      netty ( )  projeto
      0.73 (   448)  files_name
      0.64 (     8)  doc_files
