@relation 'appium-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,7,17,18,23,27,28,29,30,35,36,37,38,42,48,52,53'

@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute at_mentions_comments numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute ci {travis,unknown}
@attribute requester {lucyking,imurchie,SrinivasanTarget,scottdixon,vikramvi,jlipps,guysmoilov,ahansen1,rompic,anandsadu,Jonahss,moizjv,MiteshShah,pra85,rahuljawale,aluedeke,akhillb,wuhao5,sankha93,amake,rseek,christian-bromann,some-say,dshafer,gempesaw,redshirtrob,lukeis,Footpad,michalsarna,srautiai,nicolasavenza,michaelpreston,ericwengelking,sebv,yaphatak,sofaking,arunnat,theyelllowdart,mjdetullio,bayandin,fernyb,exstan,d0lfin,icecrystal23,WKPlus,romainlouvet,xudafeng,whoward,lihuazhang,penguinho,Annnd,siriwit,paymand,hyeung-trulia,0x1mason,bootstraponline,teragoon,tarunsujit,sangeethasriniv,SBoudrias,aleks2a,qianyiliushang,robfromca,slk9,jpkrause,danail-branekov,panozzaj,macmishra,apankov1,ktronic80,jdeff,rgonalo,emakiej,DylanLacey,KazuCocoa,lbielski,arikon,shzero5,austenke,axemclion,bardh,varzan,paramadeep,edgy360,erlendfh,jamescaldwell,jsgithub1,dandoveralba,Erolstt,tonetheman,Mikrovolnovka,rickihastings,boxiong,thebeekeeper,fbai,curtissiemens,marley71,testerhome,sah,jfk-urbandaddy,prolificcoder,tokunbo,callmewa,astayleraz,pkastner,deadmoto,himukin,midopa,shyamvala,casschin,snevesbarros,NozomiIto,joe-harter,matthewdunn,vgrigoruk,landryraccoon,lxuan,mobiware,Buritica,guoyongzhen,egoldblum,stephensjlee,Javier84,deivanai,danubiusdan,pavelsmolensky,bigfei,linguinee,q-a,lbunschoten,davebassan,jasonchutko,yujie1985,thu2004,patotskiy,c0nscience,zijie0,ecomrobotics,Markm21,gong023,rectalogic,CharlesHarley,rockbot,vkmtse,elgalu,grz0,filmaj,Nefry,haveahennessy,Astro03,rossrowe,seveniruby,misttar,feelobot,twilly86,drpy,peterschwarz,monkeytest15,samaitra,approxinfinity,ritika-mish,mgmanikandan87,tylersnavely-wf,LouisStAmour,swapna-chennadi,PavithraNavaneeth,xuru,frankbp,sourishkrout,yohannesalazar,Bogger,angerborn,enricostano,tborys,TadeasKriz,kinghenry3,chrisgw,bernii,mansibarodia,elysakohrs,alimoeeny,alvillaflor,HimanshuJ,AmitKumar5,michellai,rmcloughlin,tanob,mmerrell,herzbube,rorp,mbanks411,houlianpi,umaar,maudineormsby,OniOni,Shiin,dawogfather,pradeepbishnoi,omireault,Rorosha,gaige,santiycr,satchit,jmathes,admc,bernie-mesos,brainsik}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute main_team_member {false,true}
@attribute prior_interaction_pr_events numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,1,4.63146,0.63189,2,1376,369.186047,41.424419,103.924419,travis,imurchie,167,0.862275,true,52,-1,1
false,4,27.827355,1.042635,4,15739,699.409111,39.329055,102.801957,unknown,wuhao5,0,0,false,0,17334,0
false,1,9.585686,1.30793,0,1376,369.186047,41.424419,103.924419,travis,scottdixon,19,0.842105,true,27,-1,1
false,3,26.742633,3.667389,1,1374,369.723435,41.484716,104.075691,travis,scottdixon,18,0.833333,true,25,1,1
false,1,4.382639,0.60102,0,1374,369.723435,41.484716,104.075691,travis,imurchie,166,0.861446,true,71,-1,1
false,2,9.270465,0.347346,2,15730,699.809282,39.351558,102.860776,unknown,SrinivasanTarget,0,0,false,0,12,0
false,1,4.374771,0.600269,0,1335,380.524345,42.696629,107.116105,travis,imurchie,165,0.860606,true,68,-1,1
false,4,39.405834,5.406935,3,1335,380.524345,42.696629,107.116105,travis,scottdixon,17,0.823529,true,23,36,1
false,1,10.335448,1.43844,0,1295,392.277992,44.015444,110.42471,travis,scottdixon,16,0.8125,true,21,12,1
false,1,4.480274,0.623544,0,1295,392.277992,44.015444,110.42471,travis,imurchie,164,0.859756,true,66,-1,1
false,1,33.521747,4.665402,0,1295,392.277992,44.015444,110.42471,travis,imurchie,163,0.858896,true,67,-1,1
false,2,9.236453,1.2855,0,1294,391.808346,44.049459,109.737249,travis,jlipps,409,0.98533,true,14,-1,1
false,1,0,0,3,15730,699.809282,39.351558,102.860776,unknown,sankha93,1,0,true,1,74,1
false,1,4.515948,0.172416,1,15538,702.535719,39.7091,103.938731,unknown,amake,5,0.8,false,0,4883,1
false,1,4.440394,0.169531,0,15538,702.535719,39.7091,103.938731,unknown,rseek,1,0,false,1,-1,0
false,9,4.641787,0.654844,0,1286,394.245723,44.323484,110.419907,travis,christian-bromann,3,0.666667,true,3,1078,1
false,3,9.414125,0.35273,0,15733,699.675841,39.344054,102.841162,unknown,moizjv,63,0.84127,true,24,1155,0
false,1,0,0,2,15721,700.20991,39.374086,102.919662,unknown,moizjv,62,0.854839,true,22,2,0
false,2,8.809144,1.251616,0,1168,434.075342,48.80137,121.575342,travis,imurchie,162,0.858025,true,56,-1,1
false,2,13.908543,0.531025,0,15514,703.622534,39.77053,104.099523,unknown,rseek,0,0,false,0,156610,0
false,4,14.055388,0.526653,1,15694,701.414553,39.441825,103.096725,unknown,sankha93,0,0,false,0,1541,0
false,1,4.786368,0.179344,0,15694,701.414553,39.441825,103.096725,unknown,jlipps,408,0.985294,true,17,5,1
false,3,23.934479,0.896821,2,15694,701.414553,39.441825,103.096725,unknown,imurchie,161,0.863354,true,55,1362,0
false,2,10.468517,0.392254,0,15694,701.414553,39.441825,103.096725,unknown,some-say,0,0,false,0,1740,0
false,1,4.683365,0.175485,0,15694,701.414553,39.441825,103.096725,unknown,dshafer,0,0,false,0,6091,0
false,6,37.573236,5.338218,0,1168,434.075342,48.80137,121.575342,travis,imurchie,160,0.8625,true,54,-1,1
false,166,888.857587,33.304452,0,15694,701.414553,39.441825,103.096725,unknown,gempesaw,2,1,false,0,309,0
false,1,4.618189,0.667947,0,1178,430.390492,48.387097,120.543294,travis,imurchie,159,0.861635,true,51,-1,1
false,2,8.639601,0.323716,1,15694,701.414553,39.441825,103.096725,unknown,imurchie,158,0.867089,true,50,13,0
false,2,9.241697,1.336662,1,1178,430.390492,48.387097,120.543294,travis,christian-bromann,1,1,false,1,149,1
false,1,9.174312,1.326939,0,1168,434.075342,48.80137,121.575342,travis,imurchie,157,0.866242,true,47,-1,1
false,1,9.264219,0.347737,3,15694,701.414553,39.441825,103.096725,unknown,redshirtrob,1,1,false,0,4008,0
false,1,4.476276,0.168018,0,15698,701.235826,39.431775,103.070455,unknown,imurchie,156,0.871795,true,46,-1,0
false,6,73.472497,2.75773,1,15691,700.274042,39.449366,103.116436,unknown,scottdixon,15,0.8,true,20,44,1
false,1,4.770806,0.179068,2,15691,700.274042,39.449366,103.116436,unknown,imurchie,155,0.877419,true,44,0,0
false,1,4.718217,0.682438,0,1149,441.253264,49.608355,123.585727,travis,imurchie,154,0.876623,true,41,1,1
false,1,14.278328,2.065202,0,1149,441.253264,49.608355,123.585727,travis,imurchie,153,0.882353,true,39,-1,0
