@relation 'scala-js-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R1,4,48,53'

@attribute created_at_week_day {domingo,quinta-Feira,quarta-feira,segunda-feira,terca-feira,sexta-feira,sabado}
@attribute forward_links {true,false}
@attribute prior_interaction_pr_events numeric
@attribute status {0,1}

@data
quarta-feira,false,133,1
terca-feira,false,156,1
terca-feira,false,155,1
sexta-feira,false,153,1
quarta-feira,false,142,1
terca-feira,false,141,1
segunda-feira,false,161,1
segunda-feira,false,159,1
segunda-feira,false,158,1
domingo,false,0,1
sabado,false,163,1
sabado,true,153,0
sexta-feira,false,173,1
sexta-feira,false,150,1
sexta-feira,false,176,1
quinta-Feira,false,160,1
quinta-Feira,false,158,1
quinta-Feira,false,160,1
quarta-feira,false,159,1
segunda-feira,false,202,1
domingo,false,168,1
sexta-feira,false,221,1
sexta-feira,false,220,1
sexta-feira,false,219,1
quinta-Feira,false,165,1
quarta-feira,false,162,1
quarta-feira,false,219,1
quarta-feira,false,223,1
segunda-feira,false,232,1
segunda-feira,false,230,1
segunda-feira,false,229,1
segunda-feira,false,228,1
sexta-feira,false,230,1
sexta-feira,false,157,1
quinta-Feira,false,227,1
quinta-Feira,false,153,1
quinta-Feira,false,226,1
quinta-Feira,false,225,1
quinta-Feira,false,224,1
quarta-feira,false,152,1
quarta-feira,true,227,1
terca-feira,false,227,1
segunda-feira,false,225,1
segunda-feira,false,227,1
segunda-feira,false,226,1
segunda-feira,false,225,1
domingo,false,224,1
domingo,false,223,1
domingo,false,222,1
sexta-feira,false,225,1
sexta-feira,false,157,1
sexta-feira,false,224,1
sexta-feira,false,155,1
quinta-Feira,false,229,1
quarta-feira,false,240,1
quarta-feira,false,239,1
terca-feira,false,238,1
terca-feira,false,149,0
terca-feira,false,238,1
segunda-feira,false,148,1
segunda-feira,false,236,1
segunda-feira,false,233,1
domingo,false,232,1
domingo,false,143,1
sabado,false,142,1
sexta-feira,false,233,1
sexta-feira,true,232,1
quinta-Feira,false,143,1
terca-feira,false,144,1
segunda-feira,false,142,1
segunda-feira,false,237,1
domingo,false,138,1
domingo,false,139,1
sabado,false,138,1
sexta-feira,false,240,1
sexta-feira,false,237,1
sexta-feira,false,237,1
quarta-feira,false,146,1
quarta-feira,false,243,1
terca-feira,false,242,1
terca-feira,false,242,1
segunda-feira,false,138,1
segunda-feira,false,240,1
segunda-feira,false,239,1
segunda-feira,false,238,1
quinta-Feira,false,246,1
quarta-feira,false,244,1
quarta-feira,false,242,1
segunda-feira,false,239,1
segunda-feira,false,237,1
segunda-feira,false,236,1
segunda-feira,false,235,1
sexta-feira,false,138,1
sexta-feira,false,138,1
sexta-feira,true,234,1
sexta-feira,false,233,1
sexta-feira,false,232,1
quinta-Feira,true,231,1
quinta-Feira,false,139,1
quinta-Feira,false,230,1
quinta-Feira,false,229,1
quinta-Feira,false,226,1
quinta-Feira,false,3,1
quarta-feira,false,137,1
quarta-feira,false,135,1
terca-feira,false,141,1
terca-feira,false,140,1
terca-feira,false,224,1
segunda-feira,false,225,1
segunda-feira,false,224,1
segunda-feira,false,142,1
segunda-feira,false,0,1
quinta-Feira,false,154,1
quarta-feira,false,232,1
segunda-feira,false,236,1
segunda-feira,false,152,1
segunda-feira,false,235,0
segunda-feira,false,234,1
domingo,false,150,1
sabado,false,148,1
sabado,true,147,1
sabado,true,232,0
sexta-feira,false,146,1
sexta-feira,false,146,1
quarta-feira,false,233,1
quarta-feira,false,0,1
quarta-feira,false,148,1
quarta-feira,false,232,1
segunda-feira,false,160,1
segunda-feira,false,161,1
domingo,false,160,1
domingo,true,159,1
domingo,false,160,1
quarta-feira,true,167,1
segunda-feira,false,169,1
quarta-feira,false,173,1
quarta-feira,false,173,1
segunda-feira,false,177,1
domingo,false,176,1
domingo,false,175,1
domingo,false,174,1
sabado,false,173,1
sexta-feira,false,172,1
sexta-feira,false,171,1
sexta-feira,false,249,1
sexta-feira,false,249,1
sexta-feira,false,248,1
quinta-Feira,false,248,1
quinta-Feira,false,169,1
quarta-feira,false,2,1
quarta-feira,false,253,1
terca-feira,false,167,1
terca-feira,false,166,1
segunda-feira,false,167,1
segunda-feira,false,164,1
segunda-feira,false,159,1
segunda-feira,false,158,1
segunda-feira,false,251,1
domingo,false,250,1
domingo,false,247,1
sexta-feira,false,240,1
sexta-feira,false,242,1
sexta-feira,false,239,1
sexta-feira,false,238,1
sexta-feira,false,233,1
sexta-feira,false,156,1
sexta-feira,false,151,1
sexta-feira,false,230,1
sexta-feira,false,148,1
sexta-feira,false,147,1
sexta-feira,false,229,1
quinta-Feira,false,146,1
quinta-Feira,false,228,1
quinta-Feira,false,225,1
quinta-Feira,false,224,1
quarta-feira,false,219,1
quarta-feira,false,218,1
quarta-feira,true,0,0
quarta-feira,false,213,1
quarta-feira,false,0,1
terca-feira,false,210,1
terca-feira,false,143,1
segunda-feira,false,207,1
segunda-feira,false,0,0
segunda-feira,false,206,1
segunda-feira,false,140,1
segunda-feira,false,197,1
segunda-feira,false,196,1
segunda-feira,false,195,1
segunda-feira,false,193,0
segunda-feira,false,192,1
domingo,false,136,1
domingo,false,135,1
sabado,false,0,0
sexta-feira,false,189,1
sexta-feira,false,186,1
quarta-feira,false,183,1
quarta-feira,false,180,1
quarta-feira,false,179,1
terca-feira,false,182,1
terca-feira,false,179,1
terca-feira,false,176,1
segunda-feira,false,178,1
segunda-feira,false,177,1
sabado,false,172,1
sabado,false,171,1
quinta-Feira,false,168,1
quarta-feira,false,165,1
segunda-feira,false,162,1
domingo,false,139,1
sabado,false,138,1
sabado,false,137,1
sabado,false,136,1
sabado,false,135,1
sexta-feira,false,157,1
sexta-feira,false,156,1
quinta-Feira,false,161,1
quinta-Feira,true,0,0
quarta-feira,false,161,1
quarta-feira,false,159,1
quarta-feira,false,161,1
terca-feira,false,166,1
terca-feira,false,163,1
segunda-feira,false,162,1
sexta-feira,false,176,1
quinta-Feira,false,4,1
quarta-feira,false,177,1
terca-feira,false,176,1
segunda-feira,false,181,1
segunda-feira,false,180,1
segunda-feira,false,179,1
segunda-feira,false,178,1
sabado,false,176,1
sabado,false,175,1
sexta-feira,false,172,1
sexta-feira,false,171,1
quinta-Feira,false,170,1
quinta-Feira,false,170,1
quinta-Feira,false,169,1
quinta-Feira,false,168,1
quarta-feira,false,167,1
terca-feira,false,166,1
terca-feira,false,164,1
terca-feira,true,163,0
segunda-feira,false,163,1
segunda-feira,false,162,1
