@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,14,17,36,44,53'

@attribute forward_links {false,true}
@attribute other_files numeric
@attribute new_entropy numeric
@attribute requester {pgte,greenkeeperio-bot,d0ugal,nolanlawson,daleharvey,adamlofts,tangollama,cdaringe,nickcolley,unpete,AntonioVdlC,tonylukasavage,iivvoo,garethbowen,Hypercubed,dahjelle,mroeder,sgenoud,beardicus,jacwright,bbenezech,anaran,pixelistik,willholley,KlausTrainer,Arslanbekov,fivetanley,daedlock,joshblour,RichiH,tmct,fiatjaf,mudcube,jerem,EuAndreh,wheresrhys,filoozom,garrensmith,wilk,lupomontero,rubensayshi,carloshanson,stephenlautier,bdchauvette,janraasch,swashcap,Charlotteis,mwksl,tohagan,colinskow,adamvert,ermouth,ntwcklng,scottmtp,omsmith,robertkowalski,denis-sokolov,nicolasbrugneaux,olafura,karolklp,mattbailey,Dashed,bedney,karlwestin,michalchochol,sirkitree,calvinmetcalf,kkirsche,jhs,victorkohl,slaskis,marten-de-vries,janl,nichoth,thriqon,suziwen,mainakae,yaronyg,dholth,AGBrown,jo,gr2m,viskin,alax,neojski,RichardLitt,sphaso,ronag,jjd314,oliviertassinari,yungchin,svnlto,cyrusbowman,ialbescu,jchris,tannerlinsley,tOkeshu,shimaore,slang800,tyler-johnson,JakeChampion,jez0990,rsutphin,BigBlueHat,gabrielnau,glynnbird,robertkeizer,lokeshj,anubes19,backspace,tomsun,KSchreyer,rudasn,jacargentina,cschwarz,webinista,runlevelsix,gitter-badger,yurtaev,vvo,ktarasz,azu,tomraithel,ahizzle,redgeoff,refractalize,runetvilum,frankrousseau,ssured,desertzebra,commandoline,PeterDaveHello,explorigin,ajkerrigan,dereke,guglie,redtrumpet,jprichardson,haustraliaer,bmihelac,klaemo,falmp,mdebski,yunhaia,qs44,adamshih,ig3,trokster,erikwaing,jtbarker,davedoesdev,valotas,krists,saubaer,vw52,virgie,sygi}
@attribute req_follows_integrator {false,true}
@attribute status {0,1}

@data
false,0,4.592417,daleharvey,false,1
false,1,29.017164,nolanlawson,true,1
false,2,13.385637,nolanlawson,true,1
false,1,9.281582,nolanlawson,true,1
false,1,4.742072,nolanlawson,true,1
false,1,5.304252,nolanlawson,false,0
false,2,42.472626,nolanlawson,false,0
false,4,47.12158,nolanlawson,false,1
false,0,4.909913,nolanlawson,false,0
false,1,4.628833,daleharvey,false,1
false,1,4.341355,greenkeeperio-bot,false,1
false,2,134.467317,nickcolley,false,1
false,1,18.134543,nickcolley,true,1
false,0,4.314427,fivetanley,false,1
false,1,4.344803,greenkeeperio-bot,false,0
false,2,9.762562,nolanlawson,false,0
false,1,36.892302,nolanlawson,true,1
false,0,9.342844,nolanlawson,true,1
false,0,4.291128,nolanlawson,true,1
false,0,8.598393,nolanlawson,false,0
false,1,33.019993,nickcolley,true,1
false,2,46.931776,nickcolley,false,0
false,2,53.319517,nolanlawson,false,0
false,0,18.745871,nolanlawson,true,1
true,0,27.879065,willholley,false,0
false,0,4.837082,daedlock,false,1
false,5,497.685949,nolanlawson,false,1
false,1,4.543851,nolanlawson,true,1
true,0,14.111018,daedlock,false,1
false,1,4.347643,greenkeeperio-bot,false,1
false,1,22.390343,nolanlawson,true,1
false,3,53.801216,nolanlawson,true,1
false,1,5.350341,daleharvey,false,0
false,1,5.275619,daleharvey,false,1
false,1,14.853288,daleharvey,false,0
false,1,4.446315,greenkeeperio-bot,false,1
false,1,4.463537,joshblour,false,0
false,1,4.858423,daleharvey,false,0
false,1,4.357029,greenkeeperio-bot,false,1
false,1,4.443009,greenkeeperio-bot,false,1
false,1,24.658943,daleharvey,false,0
false,0,9.169163,daleharvey,false,1
false,1,5.286344,daleharvey,false,0
false,1,4.367539,greenkeeperio-bot,false,0
false,0,4.356117,daleharvey,false,1
false,0,4.306535,daleharvey,false,1
false,1,4.364158,greenkeeperio-bot,false,1
false,1,9.611642,daleharvey,false,0
false,1,13.871079,daleharvey,false,0
false,1,5.334372,daleharvey,false,0
false,1,5.166335,daleharvey,false,1
false,1,5.366839,daleharvey,false,0
false,1,24.374186,daleharvey,false,0
false,1,28.685062,daleharvey,false,1
false,1,4.531867,RichiH,false,1
false,1,47.654252,daleharvey,false,0
false,1,4.463308,daleharvey,false,0
false,2,5.349799,daleharvey,false,0
false,1,4.230176,greenkeeperio-bot,false,1
false,1,4.583814,greenkeeperio-bot,false,1
false,1,23.79048,nolanlawson,true,1
false,1,4.395592,greenkeeperio-bot,false,1
false,1,4.375761,greenkeeperio-bot,false,1
false,0,4.94336,nolanlawson,true,1
false,1,4.367539,greenkeeperio-bot,false,0
false,0,44.278302,tmct,false,1
false,1,9.225752,fiatjaf,false,1
false,1,4.228446,greenkeeperio-bot,false,1
false,0,14.364244,mudcube,false,1
false,0,4.651621,mudcube,false,1
false,0,0,jerem,false,0
false,0,17.861265,willholley,false,1
false,0,4.46103,EuAndreh,false,1
false,0,9.183303,wheresrhys,false,1
false,1,4.370445,greenkeeperio-bot,false,1
false,1,4.353726,greenkeeperio-bot,false,1
false,0,4.549139,filoozom,false,0
false,1,4.341482,greenkeeperio-bot,false,0
false,1,4.390512,greenkeeperio-bot,false,1
false,0,13.194818,garethbowen,false,1
