@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,45,52,53'

@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute forward_links {false,true}
@attribute files_added numeric
@attribute integrator_follows_req {false,true}
@attribute first_response numeric
@attribute status {0,1}

@data
tarde,false,0,false,65,1
manha,false,0,false,7,1
manha,false,0,false,10,1
madrugada,false,11,true,10,1
manha,false,0,false,10,1
madrugada,false,2,false,11,1
madrugada,false,0,false,10,1
tarde,false,0,false,29,1
madrugada,false,0,false,731,1
noite,false,0,false,1000,1
tarde,false,0,false,-1,0
tarde,false,1,false,1391,1
tarde,false,0,false,0,1
madrugada,false,0,false,9,1
noite,false,0,true,4,1
tarde,false,0,false,3,0
tarde,false,0,false,10,0
noite,false,0,false,1135,1
madrugada,true,0,false,1,0
noite,false,0,false,0,1
tarde,false,0,false,11,1
noite,false,0,false,9,1
noite,false,0,false,10,1
madrugada,false,1,false,10,1
noite,false,0,false,9,1
tarde,false,0,false,1,1
tarde,false,0,false,0,0
tarde,false,0,false,9,1
tarde,false,0,false,1,1
noite,false,0,true,9,1
tarde,false,0,false,3,1
tarde,false,0,false,11,1
noite,false,2,false,9,1
noite,false,0,false,1,1
tarde,false,0,false,11,1
noite,false,0,true,3,1
noite,false,0,false,1,1
noite,true,0,false,10,0
noite,false,0,false,9,1
tarde,false,0,false,10,1
tarde,false,0,false,1,1
noite,true,1,false,0,0
manha,true,0,true,0,1
noite,false,0,false,9,1
noite,false,0,false,10,1
tarde,false,0,false,4,1
noite,true,0,false,9,1
tarde,false,0,false,9,0
madrugada,true,0,false,9,1
tarde,false,0,false,10,1
noite,false,1,false,9,0
noite,false,1,false,0,1
tarde,false,0,false,12,1
tarde,false,2,false,64,1
tarde,false,1,false,0,0
madrugada,false,0,false,9,1
noite,false,0,false,13,1
tarde,false,0,false,7,0
tarde,false,0,false,3,1
noite,false,1,false,0,1
tarde,false,0,false,12,1
tarde,false,0,false,0,1
madrugada,false,1,false,0,1
tarde,false,0,false,10,1
tarde,false,0,false,4,1
manha,false,0,false,0,0
manha,false,0,false,10,1
tarde,false,0,false,0,1
manha,false,0,false,25,1
tarde,false,0,false,-1,1
tarde,false,1,false,7,1
tarde,false,2,false,11,1
noite,false,8,false,3,1
tarde,false,0,false,5,1
tarde,false,4,false,1,1
tarde,false,0,false,10,1
manha,false,0,false,12,0
tarde,true,2,false,10,0
tarde,false,0,false,19,1
manha,false,0,false,16,1
noite,false,0,false,2,1
