@relation 'marathon-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,30,34,36,38,53'

@attribute forward_links {false,true}
@attribute asserts_per_kloc numeric
@attribute workload numeric
@attribute requester {aquamatthias,kolloch,AlexanderWeber,pierlo-upitup,meichstedt,gkleiman,ltrabuco,fr0stbyte,xiaoqge,sascala,vitan,pierrecdn,prsekar,timoreimann,alenkacz,joerg84,janisz,knesenko,philipnrmn,lloesche,jgarcia-mesosphere,jimenez,ssk2,leemunroe,tgermain,Poltergeist,jlamillan,cmluciano,guenter,wendigo,bayendor,rji,justingood,medzin,jdubs,asridharan,brndnmtthws,kermitas,meln1k,carlanton,ljharb,cgbaker,avthart,andygrunwald,mrajashree,aldipower,pgkelley4,hayderimran7,heichblatt,ReadmeCritic,earldouglas,discordianfish,alon-argus,mwasn,pbnsilva,tobilg,ConnorDoyle,titilambert,zemanel,orlandohohmeier,matsluni,surdy,tamarrow,felixb,sledigabel,rboyer,X-Cray,okuryu,sielaq,ss75710541,EvanKrall,hangyan,flosell,first-it-consulting,bobrik,MrMarvin,cmaloney,manojlds,brockoffdev,lusid,vivekjuneja,sepiroth887,drewrobb,Sodki,cameronpickham,anshulverma,rncry,IanSaunders,LeePorte,MikeMichel,rickfast,ranxxerox,woegjiub,Kosta-Github,syogesh,arthurbarr,artemharutyunyan,quamilek,tfrench,pchojnacki,spacejam,Way,hansbogert,hekaldama,sttts,cinsk,hellertime,mhausenblas,drexin,sanjana-bhat,krystiannowak,pradeepchhetri,shoenig,hyper-carrot,aeife,eigenvariable,swartzrock,waffle-iron,mlunoe,dominichamon,wzyboy,wouterkwakernaak,jrandall,michiroth,sdwr98,nevins-b,jsancio,ywahl,freshmatrix,lfergon,rcorral,gambol99,kozyraki,everpeace,lingmann,cloudify,abhay-agarwal,millerjam,c089,iven,kensipe,gomes,codemomentum,solarkennedy,samccone,roybos,ksmth,kmcgrath,jhspaybar,gphat,crackcomm,mikljohansson,phildougherty,tdooner,BenWhitehead,alex3305,iangelov,maselvaraj,branden,mbabineau,rhopman,potto007,lukaswelte,lucciano,stem,rasputnik,gregory90,bgentry,ssorallen,michaeljin,fillorkill,adamdecaf,florianleibert,fuziontech,bspaans,sumkincpp,adgaudio,crosbymichael,rthomas,olix0r,elingg,silas,dmitriy-kiriyenko,jbDalido,chengweiv5,yemyat89,nelsou,D-Roch,activars,jplock,cbuben,wingchen,hgschmie,solidsnack,asher,marc-barry,MiLk,casualjim,mattstep,ian-kent,rbpark,johanatan,rloomba,mohitsoni,nguyenvanthan,rkatti,pyronicide,davidhoyt,benmccann,BrianHicks,mrdmnd,curzonj,tpetr,russellcardullo,hsaputra}
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,78.855105,38,gkleiman,0.873239,1
false,78.857488,38,aquamatthias,0.821918,1
false,78.857488,38,rji,0,0
false,78.862256,39,gkleiman,0.871429,1
false,78.862256,39,gkleiman,0.869565,1
false,78.796128,41,justingood,0,1
false,78.796128,40,kolloch,0.918367,1
false,78.796128,42,kolloch,0.917808,1
false,78.744443,44,medzin,0,1
false,78.917086,45,jdubs,0,1
false,78.917086,47,gkleiman,0.867647,1
false,78.917086,47,gkleiman,0.865672,1
false,78.917086,44,asridharan,0,1
false,78.917086,44,gkleiman,0.863636,1
false,78.917086,42,pierlo-upitup,0.923077,1
false,78.64454,42,gkleiman,0.861538,1
false,78.64454,42,brndnmtthws,0.588235,1
false,78.64454,48,kolloch,0.917241,1
false,78.64454,42,kermitas,0,0
false,78.64454,41,kolloch,0.916667,1
false,79.673169,43,philipnrmn,1,1
false,79.673169,47,kermitas,0,0
false,79.673169,44,pierlo-upitup,0.916667,1
false,79.673169,44,gkleiman,0.859375,1
false,79.673169,44,aquamatthias,0.82069,1
false,79.673169,43,aquamatthias,0.819444,1
false,79.748265,43,aquamatthias,0.818182,1
false,79.673169,43,aquamatthias,0.816901,1
false,79.673169,42,kermitas,0,0
false,79.673169,46,kermitas,0,0
false,79.673169,51,AlexanderWeber,0.666667,0
true,79.673169,41,AlexanderWeber,1,0
false,79.673169,45,kolloch,0.916084,1
false,79.673169,45,kolloch,0.915493,1
false,79.673169,46,kolloch,0.914894,1
false,79.742703,44,meln1k,1,0
false,79.781385,38,kolloch,0.914286,1
false,79.781385,38,kolloch,0.913669,1
false,79.760557,38,carlanton,0,1
false,79.760557,41,AlexanderWeber,1,1
false,79.763137,46,aquamatthias,0.815603,1
false,79.763137,39,ljharb,0,1
false,79.763137,40,philipnrmn,1,1
false,79.763137,40,gkleiman,0.857143,1
false,79.698421,42,wendigo,0,1
false,76.763485,40,cgbaker,0,0
false,79.698421,40,aquamatthias,0.820144,1
false,79.698421,42,aquamatthias,0.818841,1
false,79.698421,38,aquamatthias,0.824818,0
false,79.698421,37,aquamatthias,0.823529,1
false,78.487335,40,avthart,0,1
false,78.487335,39,andygrunwald,0,1
false,78.487335,38,aquamatthias,0.822222,1
false,78.487335,43,gkleiman,0.868852,0
false,78.487335,42,mrajashree,1,0
false,78.487335,40,mrajashree,0,1
true,76.140586,40,gkleiman,0.866667,1
false,78.487335,43,kolloch,0.913043,1
false,78.402751,43,aquamatthias,0.820896,1
false,76.763485,39,aldipower,0.633333,0
false,78.402751,40,philipnrmn,1,1
true,78.487335,41,aquamatthias,0.827068,0
false,77.691958,38,meln1k,0,1
false,77.691958,40,pgkelley4,0,0
false,77.691958,40,hayderimran7,0.333333,1
false,76.05241,35,aldipower,0.655172,0
false,77.691958,36,kolloch,0.919118,1
false,77.562147,36,kolloch,0.918519,1
false,77.562147,35,AlexanderWeber,0,1
false,77.751817,35,heichblatt,0.5,1
false,77.751817,35,heichblatt,1,0
false,77.751817,36,ReadmeCritic,0,1
false,77.691958,39,kolloch,0.91791,1
false,77.691958,38,kolloch,0.917293,1
false,77.691958,37,kolloch,0.916667,1
false,77.691958,37,heichblatt,0,1
false,77.691958,36,kolloch,0.916031,1
false,77.69448,34,aquamatthias,0.825758,1
false,77.69448,33,earldouglas,0,1
false,77.69448,34,kolloch,0.915385,1
false,77.454286,33,ssk2,0.791667,1
false,77.454286,32,kolloch,0.914729,1
false,77.456797,33,pierlo-upitup,0.909091,1
false,77.454286,33,pierlo-upitup,0.9,1
false,77.454286,33,pierlo-upitup,0.888889,1
false,77.454286,32,meichstedt,0.727273,1
false,76.05241,32,aquamatthias,0.824427,1
false,77.359531,32,kolloch,0.914063,1
false,76.379204,33,aquamatthias,0.829457,1
false,75.922261,32,kolloch,0.92126,0
false,76.379204,32,kolloch,0.920635,1
false,76.119742,33,hayderimran7,0,1
false,76.119742,35,hayderimran7,0,0
false,76.119742,31,hayderimran7,0,0
